RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
ACP3	0	0	0	10	0	6
ACP4	0	0	0	0	0	0
ACP5	0	0	0	0	0	0
ACP6	170	125	173	190	194	171
ACP7	0	0	0	0	0	0
ACR	0	0	0	0	0	0
ACRBP	0	0	0	0	0	1
ACRV1	0	0	0	0	0	0
ACSBG1	0	0	0	2	4	1
ACSBG2	0	0	0	0	0	0
ACSF2	1	0	6	2	10	5
ACSF3	54	72	59	76	90	86
ACSL1	90	65	110	48	66	65
ACSL3	638	540	592	589	601	561
ACSL4	136	100	142	120	96	103
ACSL5	0	0	0	0	0	0
ACSL6	2	6	2	9	9	16
ACSM1	0	1	0	0	0	0
ACSM2A	0	1	1	0	0	0
ACSM2B	0	0	0	0	0	3
ACSM3	0	0	2	0	0	4
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0
ACSS1	80	57	51	53	84	50
ACSS2	37	46	31	23	70	43
ACSS3	25	17	0	32	7	26
ACTA1	11	13	5	0	0	0
ACTA2	45	27	26	25	21	36
ACTB	706	618	610	575	654	544
ACTBL2	10	8	2	5	9	26
ACTC1	0	0	0	1	0	0
ACTG1	13737	10555	12530	10842	12271	11151
ACTG2	0	3	0	0	0	0
ACTL10	0	0	5	0	0	0
ACTL6A	205	190	211	243	216	211
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	3	0	0
ACTL8	23	6	3	9	3	9
ACTL9	0	0	0	0	0	0
ACTN1	318	172	240	346	316	301
ACTN2	35	13	30	29	81	45
ACTN3	0	0	0	0	0	0
ACTN4	0	1	1	0	1	0
ACTR10	258	151	161	277	198	213
ACTR1A	270	206	263	266	192	195
ACTR1B	119	80	72	130	109	109
ACTR2	498	323	470	521	395	419
ACTR3	426	293	414	401	420	326
ACTR3B	25	12	54	41	67	37
ACTR3C	0	0	0	0	0	0
ACTR5	97	35	73	118	64	83
ACTR6	293	189	204	324	389	400
ACTR8	43	71	82	61	48	62
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	5	4	6	11	6	2
ACVR1	108	66	111	106	105	118
ACVR1B	387	315	357	296	430	301
ACVR1C	10	9	32	11	23	5
ACVR2A	86	80	87	109	84	90
ACVR2B	354	375	350	373	305	321
ACVRL1	6	5	8	0	0	7
ACY1	30	9	32	25	23	29
ACY3	0	0	0	0	0	0
ACYP1	159	150	202	163	152	212
ACYP2	110	85	97	140	111	96
ADA	37	31	15	11	12	5
ADA2	1	0	3	0	0	9
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	176	151	147	188	144	164
ADAM10	304	212	261	351	336	294
ADAM11	23	0	2	4	11	0
ADAM12	13	1	5	4	3	10
ADAM15	1	7	1	0	0	15
