rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ABHD10	713	592	611	885	882	735	0.00623742472775171	0.0361197975496983	1943	0.289313922883909	0.105780825436684	727.933187378166	2.73503181403213
ABHD11	155	142	144	147	143	170	0.892845341657782	0.952843312607483	14105	-0.0300263743322169	0.222905139959843	149.640990681504	-0.134704719404973
ABHD12	578	486	475	436	496	473	0.090327023191885	0.251686818386826	4282	-0.221740487330678	0.130922676225338	488.894431515568	-1.69367518082985
ABHD12B	2	0	0	0	0	0	0.644898181406414	1	11250	-1.86468886645674	4.0460963429737	0.319271824611366	-0.460861212485683
ABHD13	242	236	194	332	307	272	0.0479394089882647	0.161903066376248	3462	0.340466491179682	0.172134893769861	260.949652353276	1.97790514010991
ABHD14A	69	86	55	69	29	51	0.12948940251246	0.321220526768899	4902	-0.599710122279872	0.39555624444688	60.0059381456906	-1.51611845521101
ABHD14A-ACY1	182	207	169	191	143	228	0.722077759174109	0.863449160086427	12170	-0.0828420744542167	0.232909659802455	186.654963168674	-0.35568329164398
ABHD14B	72	78	47	27	48	59	0.121068657767928	0.306329876151363	4781	-0.638286019178583	0.411716781814682	55.5600765965655	-1.55030362465497
ABHD15	120	131	186	124	56	101	0.0176636928116124	0.079547526937813	2530	-0.741261026541985	0.31242647886301	120.389078971533	-2.37259347939906
ABHD16A	5	2	0	4	0	4	0.93748071588431	1	14505.5	0.146975570779874	1.87381229452629	2.45196485296379	0.0784366562271008
ABHD16B	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ABHD17A	39	37	30	41	79	53	0.141578500732719	0.34122078520059	5065	0.614597755059059	0.418111297398059	45.9602161204665	1.46993816929547
ABHD17B	311	316	362	310	359	399	0.917559907403096	0.963837294860122	14338	0.0177563669872549	0.171546064951123	342.195864831362	0.103507865320689
ABHD17C	285	233	255	257	313	257	0.977913246396129	0.990238088327213	14899	0.0047335109608676	0.170976367607679	264.830987893214	0.0276851767709153
ABHD18	414	347	324	348	454	391	0.76341696142066	0.885732826999451	12590	0.0471521395937596	0.156653310230027	377.126848161627	0.300996764923269
ABHD2	799	621	683	673	556	649	0.0353855242360749	0.130763883004217	3137	-0.253193412538297	0.120343714577007	660.681722540657	-2.10391887460212
ABHD3	344	295	378	273	361	318	0.272384131619301	0.509046505910077	6820	-0.187893819173951	0.171187822962769	327.367797700891	-1.09758869481514
ABHD4	116	88	99	84	109	172	0.528736617987037	0.73855324621614	9849	0.195185225671001	0.309849415479352	111.069499190895	0.629935755628393
ABHD5	435	475	468	525	540	509	0.484297235784951	0.704390717335917	9325	0.0920322713951114	0.131586001538221	489.60131456245	0.699407766170167
ABHD6	84	113	63	103	57	54	0.264897141462158	0.500287894587163	6735	-0.39552136105653	0.354762364497425	78.8432262139694	-1.11489098235334
ABHD8	157	90	95	151	155	131	0.292689953588571	0.530820319357413	7081	0.269834800131214	0.256438721839192	127.901741065132	1.0522389060277
ABI1	531	550	559	637	551	557	0.930985140214694	0.969317767916275	14453	-0.0106344727741077	0.12279220048337	561.467734743408	-0.0866054418134479
ABI2	1568	1349	1453	1452	1387	1389	0.0683728410471128	0.206412456316955	3913	-0.141402814978304	0.0775855056515531	1426.410637637	-1.82254164345288
ABI3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ABI3BP	92	96	83	94	94	124	0.691388315561351	0.846414380647363	11847	0.112950789588141	0.284531073913765	96.9022039305693	0.396971719237857
ABITRAM	215	183	169	304	261	210	0.0647676089178038	0.198534259423217	3845	0.351982039342133	0.190584164602239	220.590272701956	1.84685878848718
ABL1	347	200	253	293	357	351	0.19948157869532	0.418915092494756	5921	0.244407996680615	0.190492820610637	296.862895203488	1.28302996352906
ABL2	893	754	853	965	743	745	0.261198229218095	0.496160428225542	6697	-0.125022051047354	0.111272790702289	820.195505861255	-1.1235635437764
ABLIM1	1046	900	873	1008	834	841	0.0959781949846914	0.262233310983278	4379	-0.166629333698236	0.100097391619403	911.792085718467	-1.66467208588017
ABLIM2	4	0	5	10	14	20	0.0319511366635078	1	3034	2.22777440635856	1.03857910918965	8.65942655631889	2.14502139186756
ABLIM3	4	3	1	20	0	0	0.476194410802751	1	9227	1.18277825771555	1.66018720934079	4.42625572775016	0.712436676454819
ABO	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ABR	9	3	3	0	0	0	0.0192949222605663	1	2600	-4.82508133486511	2.0621913836109	2.50317314993167	-2.33978348140335
ABRA	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ABRACL	958	989	956	738	718	724	6.82426148437521e-07	1.94246478815511e-05	390	-0.511016282043832	0.102896795648235	848.645036875234	-4.96629927904465
ABRAXAS1	111	51	59	121	150	92	0.0492141109668514	0.164456907237513	3504	0.634505620582965	0.322619252350467	95.2059869980367	1.96673204081972
ABRAXAS2	437	249	380	454	640	412	0.0288125628482048	0.112781473969648	2956	0.410726740204506	0.187886059665888	422.21275687528	2.18604158783728
ABT1	577	555	563	576	436	638	0.386308652923403	0.620893033495798	8208	-0.130468656369884	0.15059907984754	556.556648932602	-0.86633103271258
ABTB1	5	1	15	8	2	4	0.567075243657328	1	10366	-0.693166748191533	1.21105881808645	5.8258821259438	-0.57236423024175
ABTB2	75	82	124	152	124	126	0.143858148486552	0.344268546363919	5100	0.411195892508128	0.281337832892865	112.830617389963	1.46157339835881
ACAA1	254	249	228	207	272	191	0.240484392644027	0.470408926830732	6449	-0.224271025640879	0.191067844883342	232.680406521134	-1.17377691561764
ACAA2	618	606	505	530	569	578	0.289539291907437	0.528243451855048	7022	-0.137212886818481	0.12955210468401	566.010029390087	-1.05913282654231
ACACA	42	38	62	29	26	49	0.24076351513247	0.470699161800974	6452	-0.534595035813902	0.455718958793673	41.2945925402062	-1.17308052583334
ACACB	44	42	36	46	58	39	0.744917786358151	0.876438074057084	12403	0.130474505021531	0.401030734474618	43.7756064254172	0.32534789432651
