rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
FMN2	384	255	422	394	381	398	0.748897189615641	0.879158276398745	12436	0.0555482738624598	0.173537461984142	369.541898202255	0.320093847330415
FMNL1	10	4	5	3	11	1	0.718701980609736	1	12131	-0.428286017401504	1.18904226352697	5.56693260521665	-0.360194107929445
FMNL2	232	240	239	335	320	280	0.0751233542913496	0.221288672392668	4023	0.293969146721056	0.165178072417758	271.823524381961	1.7797104810472
FMNL3	95	50	67	67	77	40	0.417723338784011	0.648642717001163	8589	-0.295237106059095	0.364320536136775	65.1889938020243	-0.81037733746707
FMO1	0	0	0	1	0	0	0.832014989074624	1	13446.5	0.865541679578049	4.0804728567969	0.153551813769926	0.212117984839993
FMO2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FMO3	8	0	0	0	0	0	0.220515679310074	1	6194.5	-3.8571205095875	3.14826363068619	1.27708729844546	-1.22515804330745
FMO4	13	4	0	4	3	13	0.8613418469103	1	13778	0.22202331547348	1.27112849771188	6.09211248444499	0.174666303110297
FMO5	5	1	1	0	0	0	0.176329355851165	1	5569	-3.70929632593671	2.74327083465756	1.15366287458859	-1.35214368157701
FMOD	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FMR1	1649	1457	1636	1791	1762	1523	0.994457659730814	0.997634249380412	15091	0.000534967904273377	0.0770142535439036	1625.06740059249	0.00694634927505214
FMR1NB	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FN1	50	41	77	98	46	41	0.953019237577753	0.979489543222909	14650	0.0246523467249341	0.418434112344262	58.1450810771689	0.0589157193394684
FN3K	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FN3KRP	436	443	384	547	494	490	0.173827943737101	0.387016446735972	5538	0.179578807122887	0.132042632995236	462.156159898969	1.36000625744389
FNBP1	745	557	602	786	606	602	0.829392837923757	0.921261746427019	13369	-0.0270345487277121	0.125461787563488	643.64270193468	-0.215480340689645
FNBP1L	158	125	220	277	151	186	0.47712758796203	0.699774521596842	9242	0.18486994632658	0.260039575195666	184.284458368227	0.710930042811659
FNBP4	0	0	0	5	0	0	0.428043287464747	1	8675.5	3.02433768596315	3.81598496602476	0.767759068849628	0.792544444721359
FNDC1	5	7	10	6	9	1	0.590785443528808	1	10606	-0.589846101168363	1.09698365207799	6.32863231768255	-0.537698169021055
FNDC10	70	146	73	63	57	50	0.0160569404406383	0.0740266976623535	2469	-0.884704742692888	0.367460484517686	77.4964121109981	-2.40761872355912
FNDC11	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FNDC3A	396	327	348	606	586	485	2.71729654044277e-05	0.000455660255218357	662	0.550407256411526	0.131175823699813	451.319210770582	4.19595044946008
FNDC3B	437	406	465	810	745	723	2.18170963296896e-09	1.0530068971995e-07	230	0.702679653309615	0.117432974508243	589.483202787521	5.9836656292845
FNDC4	20	24	17	26	26	25	0.665711116935459	1	11532	0.235907614113797	0.54602975229768	22.8533682588074	0.432041684763703
FNDC5	21	11	6	4	4	2	0.0453051044442189	1	3404	-2.00700033963701	1.00259251797561	7.97563577527061	-2.00181060964774
FNDC7	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FNDC8	2	0	0	0	0	0	0.644898181406414	1	11250	-1.86468886645674	4.0460963429737	0.319271824611366	-0.460861212485683
FNDC9	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FNIP1	303	258	365	390	488	360	0.0623049422169364	0.192981909472715	3802	0.320811705727704	0.172098262579357	357.085258194618	1.86411937528871
FNIP2	1167	828	1015	1222	1028	1039	0.726140466850437	0.865952019442109	12206	0.0366855247103077	0.104736738378921	1040.12826133973	0.350264150651562
FNTA	434	352	373	523	453	417	0.209260197047438	0.430344099189257	6064	0.169764240496831	0.135205423316403	420.914587305505	1.25560230006126
FNTB	268	235	259	251	316	238	0.923864360888953	0.965760552629503	14400	-0.0168393172734636	0.176204043990218	259.509776282528	-0.0955671441592927
FOCAD	466	431	491	566	579	463	0.38679080200339	0.620972063355236	8219	0.112259059868296	0.12971149414024	495.301890938953	0.86545190626611
FOLH1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOLR1	5	3	3	6	7	1	0.853607235334427	1	13701	0.24104483892037	1.30634979564993	4.06503761881683	0.184517837200293
FOLR2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOLR3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOS	52	26	25	60	70	77	0.0212096281552308	0.0909417080537724	2675	0.9357805253034	0.406113862177619	50.7357855928193	2.30423192226353
FOSB	27	17	6	51	71	97	4.58597219809659e-05	0.000718507850194212	708	2.06791926786163	0.50736733108817	43.9651288161567	4.07578324648236
FOSL1	41	25	17	58	52	29	0.178356813308812	0.39346959152248	5600	0.651227679264977	0.483884946224653	36.0993654023045	1.34583165759952
FOSL2	91	91	96	110	141	119	0.228276190871333	0.45560562971725	6290	0.315901385338493	0.262199905123175	107.171471464756	1.20481121146894
FOXA1	205	191	197	231	167	172	0.433676557175292	0.664216813079872	8730	-0.157232271544229	0.200829094344729	192.782564949229	-0.782915802400299
FOXA2	103	125	135	66	32	79	0.00111306034761689	0.00957761480336852	1295	-1.13179540458517	0.347147707895449	91.2313219090088	-3.26027042334969
FOXA3	9	1	3	10	9	2	0.61079209209773	1	10810	0.616239897461847	1.21082272184588	5.44319266216986	0.508943123005155
FOXB1	261	210	215	317	262	266	0.227642881219162	0.454835065589259	6281	0.206992503702734	0.171571133151964	252.506499761432	1.20645297317816
FOXC1	8342	7029	6848	8048	8298	7512	0.850906042107089	0.933129627534822	13674	0.00977760667728805	0.0520189202461218	7623.74748811852	0.187962507315153
FOXC2	28	34	42	25	24	30	0.307480601566744	0.545960038066607	7263	-0.495867259234433	0.485895346595434	30.6860245847828	-1.02052275805659
FOXD1	885	736	709	922	822	854	0.529919235205361	0.739112626329999	9866	0.0649082890929976	0.103335870944859	814.888736081317	0.628129307853156
FOXD2	160	150	120	146	189	104	0.778716109116973	0.893398876323638	12753	-0.071335706261889	0.253870448366388	143.630742821779	-0.280992556325172
FOXD3	61	64	70	54	50	59	0.30227004461228	0.541384279645195	7197	-0.355020514587442	0.344152993596723	59.7610359096509	-1.03157758669231
FOXD4	4	4	10	7	3	13	0.797802235066855	1	13044	0.269938844684213	1.05365650100764	6.86491539526167	0.256192454017094
FOXD4L1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXD4L3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXD4L4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXD4L5	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXD4L6	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXE1	73	75	91	92	84	82	0.974323271363716	0.988922544020121	14859	0.00948108536494044	0.294566561936188	82.4605439189554	0.0321865635482222
FOXE3	0	0	1	0	0	0	0.795414167036932	1	12926.5	-1.05801167206444	4.0804728567969	0.174887068025805	-0.259286535946954
FOXF1	25	26	9	29	25	15	0.875365552156955	1	13915	0.0969960260284886	0.61841234716848	21.2198352205168	0.156846845753652
FOXF2	301	313	299	403	344	341	0.317459593951226	0.556293441586828	7372	0.152611528992956	0.152658550717622	331.106058127912	0.999691981062018
FOXG1	271	259	290	349	489	317	0.0281991116144051	0.111145516583398	2934	0.394023732591444	0.179550148847079	325.611206278057	2.19450518488309
FOXH1	0	0	0	0	0	6	0.318334337686159	1	7383.5	3.4217465147723	3.42899325871475	1.0175783194304	0.997886626366489
FOXI1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXI2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXI3	21	20	7	18	33	14	0.61123267293818	1	10814	0.340760775536203	0.670373659128236	18.5572745971857	0.508314685244843
FOXJ1	0	1	0	0	4	3	0.31948854361659	1	7406	2.62981496636032	2.64167751407981	1.32338588984477	0.99550946409762
FOXJ2	165	95	120	209	146	221	0.0392638760574178	0.140602673584966	3250	0.52094895769228	0.252714784460064	157.197165188042	2.06141068796315
FOXJ3	495	433	497	591	679	562	0.0336181182811322	0.126614408700729	3080	0.266657010329807	0.125507943371496	537.820697036271	2.12462257899101
FOXK1	352	222	315	294	223	261	0.136025467532389	0.33238360446336	4988	-0.280246821516943	0.187989684355316	276.128051144997	-1.49075638101106
FOXK2	1193	945	999	1237	1161	914	0.856124396941879	0.935509098380923	13729	-0.018381744614889	0.101383060278411	1064.79460765478	-0.181309822019677
FOXL1	7	0	1	2	5	0	0.901557276540446	1	14196	-0.240431232821493	1.94375257391495	2.39194268807444	-0.123694361128091
FOXL2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXL2NB	2	0	1	0	17	1	0.180437796161307	1	5625	2.51663677240556	1.87891684306692	3.35825734086352	1.33940827753595
FOXL3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXM1	1220	1060	1117	1038	1057	913	0.00184869976676697	0.0140660836949144	1466	-0.271419151968987	0.0871743722657046	1063.29959955377	-3.11352000495868
FOXN1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXN2	164	184	109	241	256	166	0.0726689519696748	0.216214965375331	3980	0.431671164720082	0.240498153361544	184.207707454822	1.79490427966465
FOXN3	1095	1184	1156	1331	1353	1376	0.139848799502187	0.338374351193065	5044	0.14306081692439	0.0969014112872929	1242.98948486718	1.47635431748505
FOXN4	33	45	75	26	12	35	0.0250836298876321	0.102447893812584	2822	-1.16570350028188	0.520377247881349	38.3415683778839	-2.24011235123729
FOXO1	703	562	668	816	683	802	0.178956618626039	0.394495674615635	5604	0.160290080851902	0.119265711932882	700.113862398244	1.34397454435276
FOXO3	1019	911	1167	1725	1386	1581	3.28304307748826e-06	7.57693580108049e-05	481	0.502724855677112	0.108060171050458	1283.97531626044	4.65226781329419
FOXO3B	298	168	299	301	351	269	0.382017913626939	0.616571802729377	8169	0.17870850516311	0.204428874213385	277.676970872231	0.874184265068993
FOXO4	84	63	66	65	82	30	0.33044177898649	0.567806867679473	7563	-0.370503500280206	0.380696882014493	64.3952959971946	-0.973224414971964
FOXP1	1196	1006	1120	1492	1493	1147	0.0221479785647853	0.0936627466848312	2713	0.216320526714195	0.0945531041696454	1228.74493241537	2.28782046463622
FOXP2	368	278	324	416	398	380	0.151543319396152	0.355396261632234	5220	0.207912754180521	0.144977718854226	357.022411580927	1.43410143174881
FOXP3	2	5	2	4	0	0	0.497939163876151	1	9487	-1.33616864599306	1.9715181954875	2.18623444091453	-0.677735893613026
FOXP4	75	61	71	83	36	55	0.344842801314471	0.581189226635343	7734	-0.349337777762895	0.369810565126895	63.1846523700609	-0.944639798603442
FOXQ1	107	91	105	90	64	93	0.182976663224008	0.400076029301582	5660	-0.385836584319713	0.289744189911341	91.614578009533	-1.33164563002204
FOXR1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXR2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FOXRED1	281	297	310	449	367	398	0.0240472600876295	0.0993851951722916	2785	0.350890184541852	0.15551069451737	347.323437966835	2.2563733358072
FOXRED2	3332	2593	2517	2569	2652	2365	0.0011485156617464	0.00977596493878994	1309	-0.2448601404648	0.0753099091209611	2656.29605883281	-3.25136682971574
FOXS1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FPGS	196	152	178	199	198	183	0.80559895661591	0.909113959275513	13125	0.0483224269856529	0.196346765359346	182.845139860786	0.246107578585342
FPGT	139	166	106	144	182	121	0.946437848996577	0.97597831506837	14596	0.017235495320525	0.256554265337489	142.186043726811	0.0671807007295409
FPGT-TNNI3K	9	0	13	8	8	13	0.752455776647952	1	12470	0.335579901486865	1.06397220022771	8.41142360086895	0.315402884976737
FPR1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FPR2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FPR3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRA10AC1	262	190	209	340	243	224	0.322192095782788	0.560387900767106	7438	0.191750260072529	0.193694327055718	241.402029541389	0.989963221882952
FRAS1	223	188	263	144	150	89	8.57652398771635e-05	0.00122218219239588	781	-0.920013654292672	0.234237778003592	176.526759180239	-3.92769117831439
FRAT1	47	72	65	92	85	40	0.764408562569119	0.886104287930087	12604	0.1141210864041	0.380788676196524	66.2566095804946	0.299696638944174
FRAT2	420	417	387	437	420	327	0.298562588633164	0.537693591242173	7154	-0.149933255518115	0.144233049710615	399.167224635116	-1.03952080205568
FREM1	7	6	0	0	0	0	0.0484135304519526	1	3477	-4.63715796442352	2.3494501449891	2.201028856346	-1.97372052108177
FREM2	108	86	141	113	178	83	0.856340766254714	0.935561346933725	13732	0.0555675328825362	0.306945021218281	117.0719088218	0.181034156090839
FREM3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRG1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRG2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRG2B	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRG2C	0	0	6	0	0	0	0.292298581477856	1	7066	-3.56553642145071	3.38577692406911	1.04932240815483	-1.05309254017998
FRK	9	6	4	4	0	2	0.207519351261018	1	6042	-1.75390433551888	1.39152819935112	4.17324898128375	-1.26041594869348
FRMD1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRMD3	17	18	21	12	6	14	0.199370798707439	1	5917	-0.900751941867463	0.701877570000628	14.8051432532433	-1.28334624208985
FRMD4A	169	147	152	152	185	136	0.710703028852571	0.85746270223806	12047	-0.0809282006607737	0.218187026998958	155.836458242073	-0.37091206463508
FRMD4B	112	102	157	132	61	78	0.0771680325620583	0.225491531842961	4057	-0.560845148437334	0.317335059652373	106.923173819721	-1.76735955066457
FRMD5	1515	1213	1067	976	869	829	1.43597186701843e-08	5.94803122976551e-07	268	-0.596966506975209	0.105302868448198	1075.71473404768	-5.66904316826734
FRMD6	251	179	194	350	313	330	0.000723196020023686	0.00689707819440115	1169	0.581708425565172	0.172070963085544	265.64391339373	3.38063096256385
FRMD7	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRMD8	298	177	200	246	169	178	0.209021746593861	0.430077263994587	6060	-0.274446645150082	0.218463265241298	209.26287433578	-1.25625992473814
FRMPD1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRMPD2	4	14	12	2	12	5	0.437614256581119	1	8770	-0.780618806124666	1.00565633038878	8.32262291169769	-0.776228202951681
FRMPD3	5	12	2	17	13	6	0.409484562931372	1	8485	0.787940708693466	0.955310046787867	9.00356936807101	0.824801028046169
FRMPD4	106	57	78	72	111	96	0.675524703975585	0.837653292695119	11681	0.133707340286278	0.319432455950211	85.7870811410872	0.418577817612619
FRRS1	48	60	51	96	111	50	0.112144597482724	0.291014236584178	4638	0.577620498369283	0.363597274903381	68.2318458739424	1.58862713842609
FRRS1L	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FRS2	245	202	197	220	262	245	0.643469785682805	0.817080326391762	11216	0.0854293669851774	0.18457129833053	226.903537926113	0.462852934112164
FRS3	53	30	21	40	30	22	0.600067287245722	0.78935264317037	10707	-0.264042990300595	0.503606905316197	32.1794158253634	-0.524303752615965
FRY	46	44	42	83	34	62	0.406981773518112	0.638753664332612	8463	0.340534661167922	0.410670267834678	51.283524238318	0.829216741117985
FRYL	275	246	309	301	345	295	0.613233043000892	0.797667540147221	10835	0.0845226262704617	0.167217926290675	293.299228005362	0.505463906564276
FRZB	12	6	6	3	4	1	0.15490322568744	1	5265	-1.67513624321175	1.17766316342697	5.31278313900596	-1.42242391138153
FSBP	344	248	387	465	453	467	0.0121668850380182	0.0605588260359601	2280	0.409313219606453	0.163250766263101	389.787578796712	2.50726675883891
FSCB	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FSCN1	1455	1158	1209	1240	1119	940	0.00110869526983569	0.00954819719972538	1294	-0.308242916088982	0.0945128981112232	1180.02565755529	-3.26138466017877
FSCN2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FSCN3	0	0	0	0	0	2	0.649609773328953	1	11334.5	1.83162101477347	4.03170461857337	0.339192773143466	0.45430436702518
FSD1	140	137	159	139	176	161	0.890323467795326	0.952031237599452	14074	0.0313723917475089	0.227509414152117	151.442498804865	0.137894916851804
FSD1L	265	209	266	314	324	241	0.391781644112104	0.624880464265584	8287	0.150465034957275	0.175696694221105	267.010130048309	0.856390813864274
FSD2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FSHB	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FSHR	0	0	0	1	0	0	0.832014989074624	1	13446.5	0.865541679578049	4.0804728567969	0.153551813769926	0.212117984839993
FSIP1	8	5	2	7	5	7	0.809647462047945	1	13176	0.26632000608619	1.10560886154353	5.58438066842954	0.240880853391844
FSIP2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FST	19	10	12	29	25	17	0.262321528893581	1	6710	0.701093490026676	0.625462049081507	18.2363338033537	1.12092091127868
FSTL1	1441	1243	1402	1309	1518	1313	0.399997277800317	0.632081107595917	8399	-0.0751543922912817	0.0892966516956216	1363.99071546954	-0.841626095314912
FSTL3	8	15	2	12	34	16	0.142667856190376	1	5079	1.20194148626899	0.819918403627846	14.2809731837087	1.46592817157272
FSTL4	25	13	6	8	23	22	0.774906993018917	1	12710	0.212652925402758	0.743639710448834	15.9930092052787	0.285962304614432
FSTL5	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FTCD	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FTCDNL1	81	123	104	78	93	65	0.105166233925376	0.278960660168602	4529	-0.495936862652793	0.306075763986617	91.0734199903518	-1.62030752188036
FTH1	5686	4877	4692	4730	4990	4360	0.000316180635699352	0.00357010563857568	986	-0.209457405710976	0.0581556492224216	4865.68373732058	-3.60166911575327
FTHL17	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FTL	4384	3934	3712	3839	3849	3465	0.000382157730330105	0.00416323156466584	1024	-0.204579761496467	0.0575938997391783	3846.69412334177	-3.55210816463088
FTMT	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FTO	856	741	917	717	879	652	0.0344909675543406	0.128595899172079	3110	-0.25890085959635	0.122453174263573	790.836701001273	-2.11428459207665
FTSJ1	322	330	262	342	362	315	0.712500554854421	0.858791385389677	12063	0.0590743994773665	0.160310510364892	320.134562427059	0.368499852835
FTSJ3	1096	1081	1133	1085	911	937	0.00483841690255826	0.0297899423379364	1824	-0.273776000466418	0.097166411238008	1038.24169148093	-2.81759917833959
FUBP1	1915	1798	1917	2016	2134	2009	0.647440834737537	0.819619193342616	11302	0.0337909080306483	0.073888929507533	1954.19218602372	0.457320308412416
FUBP3	1363	1167	1086	1338	1046	1252	0.423128533065619	0.654290269614353	8632	-0.0837488565557193	0.104554674626761	1201.84505196815	-0.801005376896686
FUCA1	455	383	440	417	547	341	0.671363275964837	0.834860952894103	11598	-0.0683597299455104	0.161120239243311	427.316052378393	-0.42427773361408
FUCA2	995	775	814	755	745	734	0.00358459149966864	0.0235381701377755	1699	-0.300295433337094	0.103102981960299	799.655853507724	-2.91257757658965
FUNDC1	253	265	225	252	330	266	0.607189825532495	0.794204577970571	10769	0.0936182948975641	0.182105257963499	263.708216971708	0.514088917280625
FUNDC2	335	313	269	216	229	209	0.000618467380988899	0.00612453737409257	1126	-0.582280423763682	0.170089156116578	261.9586409566	-3.42338357751973
FUOM	74	82	62	82	66	47	0.424255957907251	0.654938866462021	8645	-0.269268912646204	0.336982339061831	68.488234723115	-0.799059420727674
FURIN	437	317	322	320	253	354	0.0933789132505524	0.257412296000592	4332	-0.298293419697738	0.177784498646547	332.597771192829	-1.67783705535978
FUS	9093	8193	8776	8584	8366	7300	2.44001334964313e-05	0.000417358831962841	649	-0.201930456583305	0.047847668079758	8348.15770110794	-4.22027790877298
FUT1	12	12	16	49	18	38	0.0297623882616167	1	2982	1.29135333318967	0.594206970592573	23.7026827238741	2.17323827739999
FUT10	56	22	26	51	52	21	0.740364076953077	0.873879558950889	12347	0.167365906251195	0.505070688026034	37.0944651750556	0.331371252022782
FUT11	37	35	12	49	16	35	0.782831518873219	0.895990585731685	12786	0.158614999226039	0.575461452258555	30.3219564929407	0.27563097163765
FUT2	0	0	0	1	0	0	0.832014989074624	1	13446.5	0.865541679578049	4.0804728567969	0.153551813769926	0.212117984839993
FUT3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FUT4	113	32	72	83	94	53	0.98739672910599	0.995081999686897	15021	0.00628722490442633	0.398013428784464	73.0422272604429	0.0157965145136624
FUT5	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FUT6	0	0	4	0	0	0	0.451736554289266	1	8950.5	-2.98047132071712	3.96063774197794	0.69954827210322	-0.752523082110679
FUT7	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FUT8	122	111	120	83	130	102	0.339563525810029	0.576287219082271	7672	-0.257187542418864	0.269298424994751	111.15686040202	-0.955028022996708
FUT9	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FUZ	270	249	187	214	229	282	0.816805713451639	0.914529647003431	13237	-0.0475202154855401	0.205133252735403	237.756839988611	-0.231655350129096
FXN	624	688	656	721	559	511	0.0694604374807147	0.208795103296348	3936	-0.242139562181473	0.13337986368929	624.565121545647	-1.81541317770079
FXR1	1218	1143	1225	1395	1239	1103	0.648225576904174	0.819993200855669	11310	-0.0407239510465495	0.0892621550300033	1212.74595245012	-0.456228633880295
FXR2	654	410	485	813	684	736	0.00122364531338725	0.0102441075595112	1332	0.442143646360052	0.136746427674942	621.341223167548	3.23331039704426
FXYD1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FXYD2	0	0	2	4	6	0	0.343796171711397	1	7721	2.17468687614618	2.29714499012012	1.91498211877412	0.946691169037818
FXYD3	0	2	0	4	0	0	0.806052097691627	1	13128.5	0.786848382805923	3.20479486704471	0.975399745148441	0.245522230111256
FXYD4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FXYD5	329	280	294	342	286	270	0.505736844414078	0.721873607897366	9566	-0.104890502597321	0.157613833943747	298.140741125769	-0.665490458374082
FXYD6	183	153	169	148	182	150	0.432324493798654	0.66270537661983	8721	-0.166459843685239	0.211991299852705	163.4126604341	-0.785220166114825
FXYD6-FXYD2	0	0	0	3	0	0	0.566921955728703	1	10345.5	2.28929188112051	3.99813070238363	0.460655441309777	0.572590555820416
FXYD7	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FYB1	3	0	0	1	0	0	0.695613471908528	1	11894	-1.48480856921642	3.79505124570875	0.632459550686975	-0.391248621713702
FYB2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FYCO1	153	99	139	103	88	145	0.293286892901026	0.531555558872537	7087	-0.296478167288798	0.282108041421042	120.967948840057	-1.05093837735135
FYN	2056	1636	1535	1831	1971	1807	0.888359959782261	0.951440802078425	14055	0.0120589948818462	0.0859026692288772	1792.13632257484	0.140379745939168
FYTTD1	740	677	732	747	727	646	0.260530396467643	0.495485340275364	6680	-0.117433980829865	0.104372921662135	707.90362556689	-1.12513838800077
FZD1	238	240	319	207	338	213	0.428402179578821	0.659413837424361	8682	-0.174012108173528	0.219732005088773	258.607717417931	-0.791928823037074
FZD10	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
FZD2	209	154	145	158	192	137	0.49619158607419	0.714603757288528	9448	-0.151919799892787	0.223249217153794	164.462267091468	-0.680494211041876
FZD3	793	646	688	676	571	629	0.0161944388996575	0.0743791751034745	2479	-0.273249605250844	0.113640746977665	664.559478061793	-2.40450377631315
FZD4	42	57	37	42	50	54	0.991083229593524	0.996294957727265	15059	0.00450009634245648	0.402666267007411	47.001902917653	0.0111757470420875
FZD5	171	97	133	162	203	138	0.332881662182058	0.569737793999849	7596	0.239401913797146	0.247232804492271	148.530776616246	0.968325842878304
FZD6	381	319	266	430	373	420	0.11314550055163	0.292712235288661	4654	0.25055911123537	0.158160096722166	361.329752365617	1.58421192467729
FZD7	331	366	336	423	407	300	0.885178642110671	0.950456531689324	14021	0.0231961047476251	0.160629427423616	358.040650067066	0.144407566656212
FZD8	612	511	498	429	453	338	0.000183157258873666	0.00231575501348124	880	-0.506433469381325	0.135367258448838	472.073481126067	-3.74118139928742
FZD9	69	60	42	80	61	70	0.540697430419469	0.746924113375625	9984	0.211446296203246	0.345636772326118	63.0203090675553	0.611758681752012
FZR1	78	64	48	92	79	66	0.493578043221166	0.712603701105237	9424	0.223607401045617	0.32661104208182	70.2459780684794	0.684629030360829
G0S2	63	31	20	38	22	40	0.619989003259805	0.802436507541926	10935	-0.254947946537888	0.514146929148662	35.2591144859897	-0.495865932643101
G2E3	636	566	602	654	661	683	0.63005859718546	0.808263755188872	11079	0.0544422705271785	0.11303416657115	630.05372826341	0.481644375135986
G3BP1	3239	2885	3144	2985	3123	2891	0.0257759118052677	0.104088176409704	2857	-0.137494876342038	0.0616687484115925	3031.57702517558	-2.22957137745626
G3BP2	751	677	784	855	880	818	0.285423668851488	0.52420815992665	6974	0.110783790285374	0.103709290648103	788.758441071976	1.0682147143526
G6PC1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
G6PC2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
G6PC3	973	804	696	728	789	735	0.0523071909209446	0.17093380230009	3597	-0.224911546375235	0.115898127458528	783.742183266781	-1.94059689580159
G6PD	334	326	312	291	315	349	0.469799019654723	0.69379259241547	9140	-0.117412039954174	0.162439193705792	320.557790737184	-0.72280609916612
GAA	229	255	231	182	211	188	0.036709312478276	0.134225980837069	3177	-0.398577056497115	0.190799629061087	216.281655486111	-2.08898234476916
GAB1	97	134	67	168	191	130	0.0340841811936907	0.127585192338647	3098	0.606117033920749	0.286029144885826	129.519772016954	2.11907438370552
GAB2	58	31	52	78	35	44	0.886783344911582	0.950853077548872	14038	0.060643697833805	0.425941688713969	48.9382807749304	0.14237558670743
GAB3	9	7	4	6	6	24	0.399485580220499	1	8393	0.797494422397698	0.946535617031945	9.3430700860789	0.842540320773564
GAB4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
GABARAP	1470	1479	1219	1204	1149	1199	0.000812454805797957	0.00749714114643651	1208	-0.326088595359686	0.0973830076328668	1285.29306404074	-3.34851637144991
GABARAPL1	226	224	198	355	453	397	2.46497338459798e-06	5.88466011664992e-05	465	0.800837289605733	0.169992850834366	304.800128832226	4.71100570215175
GABARAPL2	1204	1103	1086	1080	1126	993	0.0367269082950126	0.134229134772072	3178	-0.181051401104828	0.0866777742204267	1094.04295985653	-2.08878692067477
GABBR1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
GABBR2	57	43	44	56	55	7	0.460520892658723	0.686703091825461	9034	-0.40520301035495	0.549063458480638	43.0634994782143	-0.73798939648292
GABPA	590	520	502	631	755	648	0.0460046308139128	0.157137663589307	3420	0.242408961629006	0.121486888035385	602.345788376205	1.99535081973949
GABPB1	360	251	271	327	290	255	0.52186839309029	0.733602764555566	9777	-0.108069281300928	0.168734867261871	289.616538216626	-0.640467990135128
GABPB2	160	175	225	232	215	136	0.817438639231336	0.914529647003431	13246	-0.0543225253404082	0.235324832412374	189.262334597976	-0.230840599283698
GABRA1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
GABRA2	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
GABRA3	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
