rownames(count),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
B4GALT2,180,180,166,190,122,62,0.398851105161981,0.718421554110181,7089.0,-0.268041014322967,0.317706522803526,141.316185489663,-0.84367488573323,0,7.142782902356666,ns
B4GALT3,215,222,164,110,198,58,0.184637437211089,0.504231257342816,4436.0,-0.454478347821691,0.34258602657286,151.363709034129,-1.32661087309419,0,7.241875535966778,ns
B4GALT4,46,85,94,100,38,64,0.800895948438409,0.9376245258554,11327.0,0.119766968933324,0.474911926897702,69.2768830843774,0.252187747138055,0,6.114302116466586,ns
B4GALT5,483,545,315,152,101,100,9.24645634475774e-13,1.2782428788322e-10,87.0,-1.62474779190408,0.227514868689248,256.482617773823,-7.14128180397407,0,8.002717245231818,down
B4GALT7,134,125,105,83,82,28,0.0847205417742757,0.338608870069735,3007.0,-0.682945705643369,0.396156363379773,86.4628653106064,-1.72392966205788,0,6.4340087416798974,ns
B4GAT1,201,123,227,135,129,59,0.110138947631282,0.388230106436528,3412.0,-0.572952367784423,0.358640156346732,139.70013672338,-1.59756892150832,0,7.126189622476616,ns
B9D2,20,16,15,13,7,10,0.641827895116708,0.869801152232569,9717.0,-0.477968942680739,1.02757061594733,12.9441751140636,-0.465144619029508,0,3.6942311252649747,ns
BABAM1,655,613,562,622,338,432,0.559633644967949,0.827489264364702,8852.5,-0.112480284617066,0.19280601832031,518.723216746823,-0.583385755263106,0,9.018821132323438,ns
BACE2,235,186,173,102,103,57,0.0022889940194234,0.0336138352522665,819.0,-0.925884747066379,0.303576349811092,133.688839173882,-3.04992384170418,0,7.062735218851565,down
BACH1,288,353,150,278,277,150,0.608830985182576,0.85350118558286,9357.0,0.133006095094321,0.259908061982123,236.136939250479,0.511742860456056,0,7.883479931913004,ns
BAD,66,60,76,28,7,18,0.0079582846813663,0.078433143391464,1220.0,-1.66912539785926,0.628948561881939,39.6548833561442,-2.65383450892217,0,5.3094266344579575,ns
BAG1,204,226,203,208,184,152,0.775562285801612,0.926468773473975,11119.0,0.0656815875583166,0.230375343967259,190.137924333026,0.285106845321309,0,7.570902506034487,ns
BAG2,553,622,346,360,336,382,0.449508881243832,0.757434504774947,7653.0,-0.15412022985298,0.203799643635528,416.528434845601,-0.756234049793563,0,8.702271176146983,ns
BAG3,265,363,313,242,283,218,0.852830194011024,0.957523221001735,11789.0,-0.0389410587854898,0.20991519769462,271.560480226613,-0.185508525410058,0,8.085129731472495,ns
BAG4,367,395,251,215,197,267,0.361886562318065,0.6888904218106,6662.0,-0.227006943150529,0.248972229143449,272.624710974902,-0.911776160463807,0,8.090772525157773,ns
BAG5,444,513,370,463,359,232,0.722743381701442,0.907239880489364,10504.0,-0.0630891732967849,0.177818803781408,377.1036303975,-0.354794723365365,0,8.558817229226083,ns
BAHCC1,48,51,39,23,36,69,0.620540731565296,0.858282222707605,9481.0,0.299135401142916,0.60421124306357,45.0996353973049,0.49508413584989,0,5.49504386511688,ns
BAHD1,243,359,256,261,198,170,0.470073412971821,0.773534109387824,7891.0,-0.152571196854451,0.211212247899194,235.934673483181,-0.722359609217687,0,7.882243645597928,ns
BAIAP2L1,198,289,208,165,300,119,0.897230607703921,0.970219984093844,12338.0,0.0373156905704695,0.288909340259996,203.867034864923,0.129160554438594,0,7.671484701363726,ns
BAMBI,375,270,332,336,269,455,0.110545532935479,0.389207003692918,3416.0,0.441143969537894,0.27645000710598,344.39479069732,1.59574591498844,0,8.427919510523472,ns
BANF1,67,109,35,57,57,97,0.384196658728869,0.704487454571141,6946.0,0.424381426113963,0.48768831688219,69.5377164611561,0.870189855740343,0,6.1197237862805105,ns
BANP,146,124,118,181,184,119,0.0361603214347375,0.204748095250172,2124.0,0.585727437909951,0.279567481611588,143.042882933474,2.09512005664421,0,7.160303908253622,ns
BAP1,50,62,58,24,41,70,0.917399110308238,0.976916372159874,12516.0,0.0588517577922788,0.567462017808302,51.1690677737739,0.103710479195737,0,5.677200044662822,ns
BARD1,346,339,383,563,487,341,0.0005701447642884,0.0114667743814333,598.0,0.635739414766999,0.184516537952949,404.24248347575,3.44543324853141,0,8.659077138110453,up
BARX2,142,189,99,199,94,77,0.872232216438669,0.961534084977807,12122.0,0.0543325605493495,0.337839153002857,125.355920322657,0.160823753157142,0,6.9698863233094945,ns
BASP1,2259,2793,2246,1607,1603,1448,0.0004777362996809,0.0099407170869588,578.0,-0.339567462318789,0.0972154105553903,1907.34227321299,-3.49293862340183,0,10.89734804365541,ns
BATF3,169,138,57,100,125,63,0.912035752372258,0.974334161821029,12479.0,-0.0437288207783549,0.395839389369425,103.133465090007,-0.110471120238982,0,6.688368728935975,ns
BAZ1A,925,1420,1086,1198,785,912,0.66286183226797,0.878193352796528,9927.0,0.0632209048064848,0.145013582666958,1018.69158817939,0.435965401611238,0,9.992501622180122,ns
BAZ1B,193,219,187,173,226,137,0.611961007069155,0.854825787783992,9385.0,0.126644849131471,0.249656575678931,183.434476984018,0.507276240519863,0,7.519121012454776,ns
BAZ2A,334,429,282,242,373,255,0.789595104411507,0.933146612488765,11229.0,0.058474512939703,0.219139916980301,308.705821959065,0.266836429188569,0,8.270088881125133,ns
BBC3,223,297,256,348,230,413,0.0086826310339074,0.0832743249161128,1254.0,0.696483464397237,0.265397426314671,297.7724049239,2.62430376235618,0,8.21806625288186,ns
BBIP1,76,99,72,38,92,78,0.806705518966109,0.939878813318843,11382.0,0.110133482413018,0.450115417385229,74.729232728682,0.244678316181206,0,6.223600804605867,ns
BBS1,51,65,55,64,79,13,0.885567599818165,0.966391306164553,12234.0,0.0817393247609104,0.567969505010767,51.2890808547296,0.143914988462912,0,5.680579812074979,ns
BBS10,60,89,108,67,66,84,0.866805066530781,0.959651580894037,11938.0,0.0711706967043531,0.424347177205418,78.3836633901338,0.167718086810557,0,6.292481096141746,ns
BBS2,112,91,58,83,116,11,0.850074209290984,0.957137093037799,11756.0,-0.106663260913615,0.564284994810326,73.1439753017763,-0.189023741362231,0,6.1926671327275145,ns
BBS4,80,101,48,115,111,110,0.0118859166165897,0.103014696645136,1387.0,0.89392460673359,0.35536468000317,93.7730364739657,2.51551337832903,0,6.5511012443077785,ns
BBS7,3,25,54,73,26,23,0.384062474030545,0.704456210944847,6944.0,0.735506403369483,0.844986716748338,33.3471494375493,0.870435462228146,0,5.059491537914097,ns
BBX,703,759,651,508,323,182,4.4671241093951e-05,0.0014657150569567,366.0,-0.826400446922901,0.20245542241966,483.614110648966,-4.08188843275284,0,8.917712529205218,down
BCAP31,70,37,16,38,51,26,0.775508031376352,0.926468773473975,11117.0,0.184561799624734,0.647181819055864,38.2714642523638,0.285177664437454,0,5.258197193939556,ns
BCAR3,20,16,38,2,17,7,0.237618771797167,0.567289791723186,5154.0,-1.25279622347712,1.06082902464494,16.1406014258656,-1.18095960269981,0,4.012622431740234,ns
BCAS2,504,408,383,408,390,184,0.466469719024277,0.771989168056005,7848.0,-0.160889804829859,0.220931149653336,361.663498891312,-0.728235041017583,0,8.498504190240705,ns
BCAS3,247,227,221,127,193,61,0.0500735151430025,0.25103550088574,2399.0,-0.626911442882733,0.319961262343508,168.788900184656,-1.95933544670694,0,7.399076223114367,ns
BCAS4,49,61,72,43,32,29,0.291492877265501,0.625865128119483,5801.0,-0.54278090712276,0.514556306300435,45.5532501780482,-1.05485230766144,0,5.509482087410186,ns
BCAT1,206,445,347,299,404,340,0.109281698381923,0.386909327771384,3397.0,0.397386820303926,0.248144973186565,334.89586108891,1.60143006405032,0,8.387568735949534,ns
BCAT2,147,155,161,149,102,149,0.753884836076781,0.917679104666635,10862.0,0.0972760045349757,0.3102694595578,141.823138256474,0.313521042881934,0,7.147949115332777,ns
BCCIP,613,920,612,664,521,577,0.789566603964513,0.933146612488765,11228.0,0.0411209535193918,0.154084096604451,628.59842350672,0.266873443954137,0,9.295994843709211,ns
BCDIN3D,84,112,106,130,134,56,0.358694509585615,0.686895077692908,6616.0,0.327457111106944,0.356763241015749,99.7514092073962,0.917855522824138,0,6.640265317597397,ns
BCKDHA,160,165,153,138,187,137,0.369710382760112,0.693070587495516,6773.5,0.248834371948688,0.277402380457113,153.95961422938,0.897015993657481,0,7.266408151135765,ns
BCKDHB,55,78,27,21,43,36,0.627405840541488,0.862279744508338,9553.0,-0.290107678459049,0.597690172220742,41.1142441297432,-0.485381376409692,0,5.361566400598301,ns
BCKDK,215,203,159,160,137,33,0.114573630287935,0.395799481088597,3481.0,-0.597336491864888,0.378548610526209,139.881433797666,-1.57796508890773,0,7.128060678756714,ns
BCL10,253,356,309,542,605,424,8.95072775642731e-10,8.15533353989025e-08,132.0,1.06716045779056,0.174171172313866,415.191579021794,6.12707857226497,0,8.69763337280891,up
BCL11A,456,771,479,384,426,135,0.0176389417124058,0.132100221342326,1605.0,-0.591178579957201,0.249115390468833,406.977157583046,-2.37311142777894,0,8.668804012358466,ns
BCL11B,164,278,166,167,225,88,0.854997433639658,0.958068617542133,11808.0,-0.0540306899954622,0.295660274659575,170.900809599326,-0.182745856059538,0,7.417015421207537,ns
BCL2,81,157,133,121,46,71,0.378149894093168,0.699790412608066,6884.0,-0.354051022844183,0.401732538323375,96.1863829825943,-0.881310297447675,0,6.587760762333886,ns
BCL2L11,243,238,254,196,235,264,0.363587246719976,0.689445876983702,6686.0,0.240019832665887,0.264178747583515,237.719807653264,0.908550876485665,0,7.893118308505469,ns
BCL2L12,243,271,198,358,330,112,0.151305125770285,0.456763741877313,3991.0,0.402895610390572,0.280775869685643,240.158452883902,1.43493673741142,0,7.9078427779422675,ns
BCL2L13,258,318,278,305,275,163,0.767943256262789,0.922682671635621,11059.0,0.0624154672327667,0.211530336413218,255.264978525062,0.295066269411305,0,7.995851808310951,ns
BCL2L2,56,76,69,82,112,22,0.515282276796666,0.805327164353707,8355.0,0.325510030282054,0.500296084526506,66.1749297234319,0.650634774785665,0,6.0482128524930365,ns
BCL2L2-PABPN1,1032,1301,1039,926,852,617,0.0497622053616621,0.250309512289716,2391.0,-0.208361535208329,0.106198410199819,916.880640654821,-1.96200239548109,0,9.840590126056,ns
BCL6,24,11,15,23,11,55,0.158756920985389,0.466947060488608,4097.0,1.21993021338968,0.865650177549478,25.1004638848314,1.40926467183674,0,4.649642121938372,ns
BCL7B,281,262,180,170,105,88,0.0083364971664141,0.0811189736411516,1236.0,-0.722857948712553,0.274004064964326,168.942203581029,-2.63812855771561,0,7.400385963688587,ns
BCL7C,244,319,207,130,245,100,0.169376343142368,0.481443107706466,4247.0,-0.401083262892105,0.291864502575984,195.395006489535,-1.37421049614517,0,7.610249788069571,ns
BCL9,48,64,37,37,17,1,0.127311493245166,0.418239641972032,3663.0,-1.25800794871898,0.825036874711014,30.2509261232838,-1.52478996670254,0,4.918907405638767,ns
BCLAF1,871,994,834,1245,1131,937,2.09399705441097e-08,1.56425481822365e-06,161.0,0.586506939077691,0.104657683488532,987.848042044541,5.60405045790983,0,9.948145322830024,up
BCOR,669,826,502,779,796,654,0.0004674361546123,0.0097432489281148,577.0,0.475068218766249,0.13578208252338,689.084870711216,3.49875484259455,0,9.428537872288613,ns
BCORL1,58,179,119,80,109,59,0.608883360131449,0.85350118558286,9358.0,-0.207493009407271,0.405522711393446,94.9235477924988,-0.511668036284057,0,6.568694117532503,ns
BCR,73,156,120,66,68,51,0.111764230077704,0.390986950810844,3437.0,-0.609460293301934,0.38323287667387,83.5646845138479,-1.59031317613333,0,6.384821464930762,ns
BCS1L,164,212,93,145,176,103,0.572642383029844,0.83450502128922,8990.0,0.171352984714773,0.30372891772294,142.06261761355,0.564164209319971,0,7.1503831632246415,ns
BDH2,46,25,21,19,64,7,0.815580847571824,0.943268632179848,11459.0,0.190505859476588,0.816806558140227,29.0711293794904,0.233232529266596,0,4.861515214470921,ns
BECN1,333,332,276,362,189,170,0.585602611199897,0.840823279187672,9136.0,-0.129131260209211,0.236842734523899,263.653162447388,-0.545219427857014,0,8.042497491327673,ns
BEND4,37,23,19,3,11,13,0.233852776487857,0.564315277451737,5095.0,-1.17451594323825,0.986579666074717,16.8783919682556,-1.1904927535262,0,4.077105557585895,ns
BEND7,113,155,195,128,78,118,0.528583143591975,0.813122035106762,8486.0,-0.22214899007413,0.352522130184888,128.109847783148,-0.630170338405759,0,7.001237569449906,ns
BET1,310,377,238,277,184,159,0.184570924501413,0.504164094703269,4435.0,-0.28806640839224,0.217111721665035,243.003597417097,-1.32681186526021,0,7.924833861372816,ns
BET1L,113,234,108,256,105,76,0.56607237236598,0.831541459014908,8923.0,0.211700978823194,0.368916350886954,138.45696881428,0.573845475577918,0,7.113293859014293,ns
BEX1,951,1051,982,999,1117,777,0.0553602100272342,0.265371560780209,2509.0,0.23812949868787,0.124282217193157,956.153749854657,1.91603838478175,0,9.901098812497484,ns
BEX2,266,184,102,220,252,283,0.0118161962904635,0.10262571670103,1384.0,0.794376244024391,0.31553086854546,219.998224162975,2.51758646526827,0,7.7813480680627976,ns
BEX3,1343,2101,1516,1329,1445,1118,0.737678105041401,0.911650456546968,10660.0,-0.038087614413105,0.113718229685276,1417.45549384683,-0.334929716356961,0,10.469087721900497,ns
BEX4,370,453,462,667,526,281,0.0322926088421948,0.192364143905437,2019.0,0.433450282937434,0.202474030055773,444.656746229615,2.14076977090858,0,8.796548263825517,ns
BFSP1,22,57,58,69,36,40,0.528813907051348,0.813122035106762,8488.0,0.354596148480235,0.563014005046709,45.7286981075506,0.629817633845212,0,5.515027941202218,ns
BHLHA15,34,48,50,109,80,6,0.288422970762058,0.623784044120712,5759.0,0.719089191818693,0.677371541998666,51.3152833565836,1.06158754425516,0,5.681316666118098,ns
BHLHB9,29,26,44,41,31,10,0.889232683767557,0.967453382088154,12266.5,-0.100198600809452,0.71942886037942,28.8245311767436,-0.139275203328108,0,4.849225237907948,ns
BHLHE40,27,67,21,68,84,102,0.0017891638542459,0.0282755466521942,761.0,1.56040695089584,0.499623332553673,63.3398794812801,3.1231666922365,0,5.985042217196235,up
BHLHE41,181,183,202,161,127,100,0.295364001946152,0.630854706341036,5834.0,-0.285238483210561,0.272583299462404,152.629340233563,-1.04642684923514,0,7.253888510667387,ns
BICC1,100,82,46,45,112,44,0.808394605960767,0.940447895737638,11397.0,0.117605943854418,0.484977737454955,68.9482118046116,0.242497613337028,0,6.107441230323892,ns
BICD1,233,280,178,169,274,191,0.432130167063592,0.744588756342954,7464.0,0.203183859343055,0.258651159199048,215.136815225711,0.785551705904755,0,7.749110616436291,ns
BICD2,194,257,157,275,165,87,0.885062543637231,0.966289688845767,12229.0,0.0428918893512413,0.296717565529177,177.48117072186,0.144554601190348,0,7.4715221645490555,ns
BICRA,29,34,21,8,28,13,0.592272478151001,0.845993004123764,9182.0,-0.448772409431634,0.837972004713561,21.0441812285686,-0.535545826002904,0,4.395349474347145,ns
BICRAL,22,17,23,40,3,33,0.523437052502902,0.81084201834781,8426.0,0.586804398130053,0.919674999209472,23.258527898546,0.638056268393133,0,4.539687882125125,ns
BID,252,314,302,167,122,104,0.0002987849620679,0.0067801636580966,530.0,-0.871732163426002,0.241052961860174,197.300916439372,-3.61635118149538,0,7.62425384699923,down
BIN3,64,116,55,89,65,39,0.98234698202038,0.995716902239639,13113.0,0.0094338037864114,0.426356119524172,66.7751612988328,0.0221265823437457,0,6.061239650655948,ns
BIRC2,372,276,318,217,164,85,0.0023321381624129,0.0340809546529052,823.0,-0.832785741772752,0.273554740891011,224.268336114862,-3.04431112785776,0,7.809082134074396,down
BIRC5,1176,1569,1132,719,813,515,1.41442752847868e-07,9.24528254620274e-06,184.0,-0.626879902213095,0.119102505786126,926.421708769539,-5.26336451173238,0,9.855525250061293,down
BIRC6,153,210,168,210,266,154,0.0306499246177088,0.186457583903482,1977.0,0.535491579305666,0.247730606696893,189.376535380329,2.1615882932094,0,7.565113775134476,ns
BIVM,201,173,103,83,134,59,0.158557461669775,0.466736142731366,4093.0,-0.50252894257588,0.356418724679827,118.060721543809,-1.40993979210072,0,6.883385253922495,ns
BIVM-ERCC5,57,73,29,116,155,81,0.0002254849277443,0.0054346838196021,498.5,1.46191050735346,0.396331294447014,84.9355483699217,3.68860730362766,0,6.408296591223508,up
BLCAP,345,320,205,320,180,203,0.947958900853553,0.987149998042085,12794.0,-0.0160910096592023,0.246529344454177,251.428660100074,-0.0652701596024127,0,7.974005300263307,ns
BLM,144,268,105,181,284,160,0.0402401449034653,0.220285945723248,2197.0,0.619505732780896,0.302010039394678,184.629885357742,2.05127529542587,0,7.52849228537895,ns
BLMH,402,489,364,329,378,114,0.157344569214676,0.464844788490519,4079.0,-0.370079591020286,0.26171438491881,323.292296825303,-1.41405903666737,0,8.336695322155725,ns
BLOC1S1,50,64,36,90,14,2,0.671150222698358,0.882076853217095,10021.0,-0.356072869386803,0.838667202495587,38.2574630510385,-0.424569922762273,0,5.2576693029928085,ns
BLOC1S2,357,305,263,253,240,327,0.528982457590282,0.813122035106762,8497.0,0.159731250174852,0.253718840601799,288.44432622089,0.629560066552344,0,8.172149075245141,ns
BLOC1S3,133,85,124,157,103,46,0.949939246126026,0.988232503785095,12806.0,0.0251603411951189,0.40075040177967,103.504300022762,0.062783071666019,0,6.693546894626377,ns
BLOC1S4,478,558,396,301,430,120,0.0604728444749133,0.281792677450516,2581.0,-0.499783745867945,0.266220472092487,354.699158462612,-1.87733025165066,0,8.470452097202445,ns
BLOC1S5,202,229,158,117,120,92,0.0425648976929441,0.228288134175034,2242.0,-0.538305208899098,0.265442456279852,144.442504045387,-2.0279544442264,0,7.174351525853424,ns
BLOC1S5-TXNDC5,722,941,625,724,724,359,0.672636928852476,0.882184715490664,10040.0,-0.0675183028883395,0.159794624653981,645.929721834318,-0.422531753083331,0,9.33523339575181,ns
BLOC1S6,188,282,221,178,249,102,0.684440477036849,0.886965899981188,10160.0,-0.112519674617611,0.276861634432261,193.134437883506,-0.406411219988447,0,7.593461624565404,ns
BLVRA,89,91,81,94,105,25,0.994358751524093,0.998994165708995,13223.0,-0.0031908200955054,0.45129812844915,76.3721294919306,-0.0070703153732775,0,6.254974345981322,ns
BLVRB,88,134,60,124,126,148,0.0120760593678094,0.104113810764619,1395.0,0.866624785192157,0.345280679540297,113.435153004449,2.50991392378506,0,6.825723983548716,ns
BLZF1,284,224,116,142,206,101,0.57257303608119,0.83450502128922,8989.0,-0.183521632498185,0.325239503938069,169.920996505557,-0.564266118586659,0,7.408720321772189,ns
BMF,2,74,21,1,29,27,0.83409510285719,0.950270420752639,11627.0,-0.23609553851996,1.12720387245206,24.0686452618531,-0.209452384160436,0,4.589083034829794,ns
BMI1,403,392,342,187,247,175,0.0050770839304793,0.0582764523767563,1047.0,-0.605569279745639,0.216112514162782,276.870930959175,-2.80210186851792,0,8.113069780993058,ns
BMP2,4,9,16,14,23,6,0.504235627471999,0.795916976664295,8263.0,0.768870412858321,1.15127908967428,11.8235483932184,0.667840161220899,0,3.563591166024416,ns
BMP2K,88,80,102,81,63,43,0.468310078305887,0.772380022932667,7873.0,-0.291781457589119,0.40232876681825,73.1213581381998,-0.725231406883042,0,6.192220961796598,ns
BMP4,233,287,174,105,114,42,0.0002418996324289,0.0057115497900045,509.0,-1.144662837789,0.311838876082786,145.096819242419,-3.67068677314345,0,7.180872083311114,down
BMP6,71,72,59,26,24,1,0.0131227186329293,0.109830853860989,1437.0,-1.80318015102705,0.726965240467202,37.9240753842516,-2.48042141584128,0,5.245042101864193,ns
BMP7,401,463,443,264,221,158,8.99525391482495e-05,0.0025924620262709,417.0,-0.757084207322441,0.193320720222355,305.844121440513,-3.91620829082187,0,8.256652736407446,down
BMP8B,19,14,11,15,3,25,0.739310313871664,0.911697750252187,10729.0,0.359133275752528,1.07923406258039,14.8110839821766,0.332766809540703,0,3.8886053262286446,ns
BMPR1A,69,75,36,18,22,46,0.299346262136514,0.63525933316967,5887.0,-0.643556785977896,0.62009468202101,42.5180758714198,-1.03783632505994,0,5.410004404983773,ns
BMPR1B,40,51,34,32,39,43,0.699014459862607,0.896178116274126,10290.0,0.216616512147512,0.560237549962138,39.2052787602891,0.386651184238099,0,5.292976012711709,ns
BMPR2,116,160,105,85,26,39,0.0124413780508341,0.106651784616808,1403.0,-1.06845028515663,0.427487569867621,81.1756683564534,-2.49937158520772,0,6.342975452816606,ns
BMS1,611,614,474,455,509,389,0.852714051843206,0.957482205351344,11788.0,-0.0294533902482625,0.158644441661901,491.60944481532,-0.18565661639147,0,8.94136882285172,ns
BMT2,119,125,73,100,64,40,0.33822182366119,0.670728767356041,6365.0,-0.3730550488409,0.389538526698635,81.0174614212953,-0.957684601835319,0,6.340160975612949,ns
BNC2,108,80,90,63,131,83,0.474262821847184,0.776713832987323,7927.0,0.288146216889488,0.402686076077096,91.9068112479858,0.715560417922972,0,6.522099879030155,ns
BNIP1,87,234,215,231,109,196,0.38067843920554,0.701888638406412,6909.0,0.319542564877033,0.364505427602629,175.680583164947,0.876646932197091,0,7.456810938209189,ns
BNIP2,339,397,268,289,195,233,0.42207496907891,0.737190771581767,7347.0,-0.172191479316195,0.21448153402044,274.984694022668,-0.802826593452959,0,8.103207508513357,ns
BNIP3,184,86,146,72,124,98,0.576887490835709,0.836964770576154,9030.0,-0.223203442509387,0.400051426831812,117.069704649833,-0.557936873959019,0,6.87122397264876,ns
BNIP3L,143,151,109,89,123,64,0.428549805490435,0.741855410208334,7431.0,-0.259617468596387,0.32793412077272,107.636974347311,-0.791675681641919,0,6.750029932581781,ns
BOC,36,44,13,34,1,44,0.834661209344145,0.95043271774115,11633.0,0.198068506661159,0.948934837531689,28.2300824811877,0.20872719477384,0,4.819161438872511,ns
BOD1,273,405,261,203,166,117,0.0027839245493287,0.03866311842353,866.0,-0.658538048033559,0.22019962275769,220.904031159529,-2.99064112729303,0,7.787275935678402,down
BOD1L1,404,496,309,408,427,410,0.0409342989733447,0.222353152711415,2213.0,0.372880864060248,0.182409645985946,401.247686398603,2.04419487820823,0,8.64834926342802,ns
BOLA1,72,134,82,82,66,172,0.195856496852927,0.518810669409941,4586.0,0.577602670355942,0.446560749482425,103.195278464362,1.29344701930342,0,6.689233153831648,ns
BOLA3,368,256,244,185,212,134,0.0851389075771329,0.33951115432035,3016.0,-0.441308586771626,0.256333764689643,222.975868231211,-1.72161707727401,0,7.800743771368633,ns
BOP1,57,40,70,49,26,26,0.37102557331713,0.693479273304997,6792.0,-0.505255546474522,0.564812822864485,43.0694504951727,-0.894553958446066,0,5.428593011851239,ns
BORA,29,121,83,110,62,2,0.839838903422683,0.952442865642488,11676.0,-0.243588013422957,1.20528729149408,61.277378610526,-0.202099545180639,0,5.937282676313327,ns
BORCS6,135,322,167,266,249,152,0.132748156819941,0.429029066879268,3725.0,0.408007315826859,0.271398293799441,205.600788353186,1.50335254549673,0,7.6837019861696065,ns
BORCS7,329,333,200,334,181,155,0.713697913187199,0.903462014759279,10420.0,-0.0930054794500688,0.253493980097477,241.492654143672,-0.366894233205479,0,7.915835494812257,ns
BORCS7-ASMT,355,359,241,335,181,155,0.313221965626803,0.647463937068475,6061.0,-0.244012560855164,0.241959674426487,255.667281651669,-1.0084844155686,0,7.998123737061096,ns
BORCS8,64,119,96,131,74,116,0.160660742341516,0.469452562716572,4124.0,0.526913178622505,0.375601191880745,99.0054370921002,1.40285278644643,0,6.629435850891924,ns
BORCS8-MEF2B,40,66,70,36,49,77,0.639794843478986,0.869175712472807,9696.0,0.24776661967201,0.529432074603098,56.909735069152,0.467985661536949,0,5.830603558221723,ns
BPGM,176,203,173,107,105,123,0.174745580784849,0.488986761307441,4318.0,-0.396195473034784,0.291940113541166,142.492787450288,-1.35711214272346,0,7.154745086083369,ns
BPNT1,188,236,221,175,213,69,0.401036131167241,0.719997245790178,7138.0,-0.259945863241125,0.309543311315769,173.505467457864,-0.839772186115663,0,7.438837315114659,ns
BPNT2,260,306,228,186,180,52,0.0276222514023081,0.174481521856911,1904.0,-0.693865208179162,0.315019554612649,186.588038171722,-2.20260995871302,0,7.5437126903079585,ns
BPTF,320,373,240,292,209,212,0.692042006941063,0.891427323687054,10243.0,-0.0824529865051638,0.208169703838734,262.67468590433,-0.39608542926611,0,8.037133363676107,ns
BRAF,170,220,155,138,237,125,0.528163077442787,0.813122035106762,8481.0,0.180040415232452,0.28541031230107,168.563841777932,0.630812579198376,0,7.397151290217296,ns
BRAP,106,134,65,106,88,131,0.210504326830306,0.535024416481001,4796.0,0.46111903195173,0.368253028538452,103.960322042149,1.25217987692281,0,6.699889197799935,ns
BRAT1,68,57,75,59,59,55,0.876991462621369,0.962254706032079,12172.0,0.0683935629351704,0.44186403600756,61.2968811919439,0.154784181018978,0,5.937741765811871,ns
BRCA1,276,378,264,196,355,155,0.747796453668377,0.915487372584443,10806.0,-0.0836356954288753,0.26010469767527,258.286325760274,-0.321546270314929,0,8.012827455839826,ns
BRCA2,57,123,101,105,104,108,0.172044086619712,0.48572165018199,4278.0,0.50205103682105,0.367623817409691,98.6479852394238,1.36566515292329,0,6.624217680911976,ns
BRCC3,167,268,281,266,281,148,0.420823767643972,0.735967348182937,7338.0,0.212426223439437,0.263885829534273,227.415096068052,0.804992916119609,0,7.829184214891612,ns
BRD1,7,52,29,58,47,1,0.612470950267836,0.854825787783992,9393.0,0.485450273434598,0.958347159581168,29.5676314750966,0.506549498875499,0,4.8859467754104955,ns
BRD3,1017,1327,1003,852,829,477,0.0047275527923221,0.0556343223417398,1022.0,-0.358083567233289,0.126753697823782,865.542754239322,-2.82503448326305,0,9.757461274306698,ns
BRD3OS,149,138,122,126,95,76,0.52994862284248,0.813399979447349,8508.0,-0.192860428246725,0.307061303588693,112.650613000095,-0.628084444352717,0,6.815711353945411,ns
BRD4,1059,1408,987,1140,1002,916,0.207071877464937,0.531240074716466,4748.0,0.133860864328301,0.106099168509948,1050.3283464181,1.26165799608269,0,10.036624688456692,ns
BRD7,110,113,134,90,127,81,0.967156280812618,0.990923551720349,12987.0,0.0140787823427959,0.341924423524869,106.666775486674,0.0411751292804971,0,6.736967065985001,ns
BRD8,296,381,228,233,303,179,0.879744450832558,0.963326726485367,12195.0,-0.0333589737922388,0.220492254338785,257.771911285819,-0.151293177587014,0,8.009951255427588,ns
BRD9,58,79,38,83,52,32,0.665462340164423,0.879146275970891,9952.0,0.208042322016207,0.481151751320861,53.740815563811,0.432384006594776,0,5.747946310561805,ns
BRF1,39,84,32,58,37,45,0.689359266619507,0.890044752912543,10197.0,0.210619470951499,0.526911268870957,46.9087900125932,0.399724741895927,0,5.551786382646323,ns
BRF2,74,43,103,161,118,112,0.0089894863303767,0.0853255157917523,1267.0,1.05466699105935,0.403707435764583,103.577319097894,2.612453716791,0,6.694564312419385,ns
BRI3,266,349,217,143,172,110,0.0054219086041072,0.0609972233959104,1069.0,-0.662525008619935,0.238246685715554,195.806827428743,-2.78083620189761,0,7.613287259751386,ns
BRI3BP,474,703,604,330,371,182,0.0001636301134129,0.0042319114340833,464.0,-0.745238598984622,0.197706658918181,414.766875515136,-3.7694157751815,0,8.696156870718873,down
BRIP1,254,285,198,247,153,67,0.162196408554446,0.471272722712363,4147.0,-0.428544018585906,0.306601640939225,186.140988408065,-1.39772252122699,0,7.540251962860759,ns
BRIX1,1753,1896,1463,1891,1930,1361,0.0006781438320137,0.0132188587805985,617.0,0.308060873688944,0.0906523649817218,1669.2213270614,3.3982662642178,0,10.704959543307472,ns
BRK1,428,627,389,452,310,364,0.848623579937705,0.956527098022679,11743.0,-0.0353838873114268,0.185377340138043,410.998045890375,-0.190874932637817,0,8.682987724336265,ns
BRMS1,100,198,97,115,37,127,0.805030537347866,0.939508547467097,11365.0,-0.109867724384413,0.445093392352722,108.054238745174,-0.246841957827463,0,6.755611857036438,ns
