rownames(count),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
ABHD18,94,61,53,60,75,19,0.681152556306642,0.885145457962159,10133.0,-0.214760922648448,0.52267143795231,57.0358308408582,-0.410890871500124,0,5.83379662356526,ns
ABHD2,235,284,174,237,165,14,0.526666584236995,0.812496024707329,8460.0,-0.556124256107235,0.87841082156905,167.933227185894,-0.633102692330071,0,7.391743899225568,ns
ABHD4,40,27,41,22,26,14,0.417805199108306,0.733590154389501,7304.0,-0.566633307661434,0.699344508186281,27.2230837071743,-0.810234871409761,0,4.766758592921985,ns
ABHD5,165,349,162,265,102,89,0.400070118320224,0.719229194773891,7129.0,-0.288095894132101,0.342361568056923,173.372513170402,-0.841496011854348,0,7.437731378668465,ns
ABI1,133,222,129,92,68,212,0.888374429768841,0.967453382088154,12256.0,0.0598762022030555,0.426585863357725,141.947137651303,0.140361430947947,0,7.1492099473406885,ns
ABI2,244,346,181,245,271,105,0.900837022801394,0.971146689764339,12373.0,-0.0340170273903155,0.273000979364421,217.682905471017,-0.12460404892873,0,7.766084307633782,ns
ABI3BP,9,2,1,8,26,1,0.271743343886615,0.604784825485625,5577.0,1.73626919156952,1.57978130114282,7.70363327678017,1.09905667975276,0,2.945539026862145,ns
ABITRAM,87,147,70,101,60,20,0.287565091215034,0.623379359550693,5746.0,-0.502454864754725,0.4724636644653,73.4145609047179,-1.06347832128713,0,6.1979943277331095,ns
ABL1,214,199,99,242,154,86,0.607829090060684,0.853437934760186,9343.0,0.168574894695502,0.328494136137701,156.480694772062,0.513174745453713,0,7.289840870737217,ns
ABL2,224,324,218,198,119,209,0.492791597386361,0.787405944169757,8136.0,-0.194406996796008,0.283443549424019,207.712110922568,-0.685875537443205,0,7.6984415266050705,ns
ABLIM1,160,216,108,109,40,132,0.343864146148901,0.675870907947841,6439.0,-0.397129571660494,0.419551308310327,121.9577064731,-0.94655781973334,0,6.930237114282272,ns
ABRACL,213,398,151,326,362,182,0.053518841771435,0.261178690902201,2464.0,0.510528849364092,0.264425351448007,259.502211571091,1.93071067720402,0,8.0196030235758,ns
ABRAXAS1,44,15,22,24,32,69,0.16765888662519,0.479190453764533,4219.0,0.993938877519021,0.720368021857779,36.6635102264293,1.3797654079032,0,5.19627301343912,ns
ABRAXAS2,194,247,180,225,198,143,0.497024225965405,0.789937680998596,8177.0,0.153619605601016,0.226184150374388,190.412968193089,0.679179356054524,0,7.572987927405588,ns
ABT1,498,595,403,558,495,483,0.0217224704492014,0.151504786896617,1724.0,0.353483612346227,0.154010882420085,494.413709283088,2.29518594265341,0,8.949574937144263,ns
ABTB2,98,94,54,130,51,59,0.583300839464904,0.840680859016515,9105.0,0.234647152055495,0.427743614651806,77.3935231645876,0.54856961978615,0,6.2741409314210115,ns
ACAA1,52,55,38,30,13,30,0.302656832289964,0.638830067032538,5921.0,-0.652985287045575,0.633503385104261,34.5528506073747,-1.03075264063207,0,5.110732832634775,ns
ACAA2,105,133,123,170,173,233,0.0009754668618849,0.0178840547986128,656.0,1.01494333753289,0.30779095967461,160.338274432593,3.2975086032607,0,7.324975042859024,up
