rownames(count),DMSO.Total.1,DMSO.Total.2,DMSO.Total.3,TPG.Total.1,TPG.Total.2,TPG.Total.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
AKAP13,1128,947,1161,1587,1531,1276,0.0002485770150082,0.0029864214757644,928.0,0.343109576392232,0.0936505605161341,1256.89324249491,3.6637215463662,0,10.295646400558958,ns
AKAP3,18,6,5,4,11,11,0.826112493684424,1.0,13328.0,-0.204260356811536,0.929765751464892,9.05472807321811,-0.219690127851788,0,3.1786713155751736,ns
AKAP5,77,125,86,150,175,116,0.0778915478926431,0.226889024706437,4070.0,0.500765264078985,0.284033014658139,120.350257857778,1.76305301931786,0,6.911095422652686,ns
AKAP6,24,47,26,31,22,12,0.2086698308185,1.0,6056.0,-0.707158265501816,0.562472609265951,27.1486147143748,-1.25723147021272,0,4.762806679816089,ns
AKAP7,39,41,27,78,50,18,0.515034056115091,0.728330325724028,9686.0,0.326561682956291,0.501616011292866,41.306979959063,0.651019256970308,0,5.368313680441989,ns
AKAP8,714,636,622,676,734,691,0.987665992367906,0.995081999686897,15026.0,-0.00169271766557,0.109497216077099,674.950227784674,-0.0154590018469343,0,9.398637308566748,ns
AKAP8L,360,373,456,367,334,343,0.0676797782889491,0.20489800739951,3898.0,-0.288075964212964,0.157665571186083,372.043947600749,-1.82713297548623,0,8.539329239174647,ns
AKAP9,1741,1608,2165,2403,2549,2142,0.0084170175377682,0.0457129704925465,2083.0,0.263293183306893,0.099926542984961,2083.23266526803,2.63486732795828,0,11.024608260038413,ns
AKIP1,435,348,332,411,442,419,0.482175992876887,0.702999172173144,9299.0,0.100331390060094,0.142758083770727,394.579356745515,0.702807066402131,0,8.624171670164854,ns
AKIRIN1,2732,2245,2188,3135,3204,2664,0.000999240307363,0.0088106168800933,1264.0,0.235073781022587,0.071434918099222,2665.24088591882,3.29074054086648,0,11.380050215100677,ns
AKIRIN2,275,216,210,334,340,269,0.0496906952155597,0.165427193836136,3518.0,0.333559490569117,0.169956487955184,270.432724116949,1.96261698851458,0,8.079125927432953,ns
AKNA,29,26,42,19,30,29,0.423769528668466,0.654776657198971,8635.0,-0.406167305668077,0.507773470104746,29.2609839952651,-0.799898635082866,0,4.870906380468326,ns
AKR1A1,1260,965,949,1164,1091,1053,0.750334884423017,0.880121254435748,12446.0,-0.0307921778346854,0.0967705485750059,1071.62739211776,-0.318197822458541,0,10.06558764849083,ns
AKR1B1,2827,2258,2594,2704,2609,2686,0.646943123921679,0.819363815165081,11295.0,-0.0321686636826736,0.070235268140883,2597.00091500361,-0.458012968899719,0,11.342630806984506,ns
AKR7A2,1383,1139,1218,1160,1347,1247,0.360718375037875,0.5965104027062,7924.0,-0.0852097212631187,0.0932275630211384,1242.59450005221,-0.913997089506655,0,10.279139858439496,ns
AKR7L,56,13,30,16,29,33,0.498207580250649,0.715935579076046,9492.0,-0.393563973860593,0.581066882279223,29.1839876094654,-0.677312691297852,0,4.8671051169832396,ns
AKT1,1759,1469,1475,1435,1363,1353,0.0004920577046044,0.0051145436131218,1073.0,-0.272626254673581,0.0782275122002673,1469.90030812684,-3.48504313898723,0,10.521502596289592,ns
AKT1S1,85,81,75,69,81,79,0.578835113231077,0.775752267807858,10477.0,-0.166384105210601,0.29974416123312,78.145578008172,-0.555087059998475,0,6.288092333228397,ns
AKT2,4552,3446,3711,3665,3157,3553,0.0005476813539662,0.0055813280698822,1094.0,-0.262894043394726,0.0760626646108353,3663.7314844652,-3.45628232641848,0,11.83909805659424,ns
AKTIP,72,44,61,72,88,72,0.359799266470398,0.59560567508021,7917.0,0.303525227724923,0.331450730660783,67.3228127137894,0.915747650095119,0,6.073023547899044,ns
ALAD,108,143,119,199,154,139,0.21879805942664,0.442983267863419,6178.0,0.301070368349166,0.244826309574148,142.417230013851,1.2297304520615,0,7.153979887706873,ns
ALAS1,176,191,188,321,321,322,6.82875125895862e-05,0.0010148054581753,748.0,0.698204771954665,0.17533252535017,250.24727978135,3.98217484497087,0,7.967210576649037,up
ALCAM,564,542,538,573,640,477,0.635103608093974,0.811289820519629,11137.0,-0.0601946922513155,0.126844284077842,552.329805247033,-0.474555812182874,0,9.109386171107056,ns
ALDH16A1,290,287,324,251,331,179,0.0847370238472988,0.240702584884561,4185.0,-0.349467423051937,0.202726326944632,276.151745528093,-1.72383838013985,0,8.109317436346346,ns
ALDH18A1,1571,1266,1498,1666,1645,1588,0.298618757078576,0.537707513759816,7155.0,0.0835911160735777,0.0804224728968707,1527.27277546041,1.03939997195523,0,10.57674203943532,ns
ALDH1A2,1702,1531,1796,1726,1749,1476,0.143594084411383,0.344141443542277,5092.0,-0.121202826449996,0.0828716250142473,1654.86175732089,-1.46253710397447,0,10.692494987883231,ns
ALDH1A3,29,26,44,28,31,20,0.388752996743452,0.622195359984006,8244.0,-0.430963056351183,0.50002616187152,29.6248570973742,-0.861881015861561,0,4.888736289728409,ns
ALDH1B1,280,257,217,206,270,221,0.273297349644148,0.510324610347634,6829.0,-0.206230347583559,0.188252140919142,240.969291993908,-1.09550067572479,0,7.91270549759584,ns
ALDH1L1,27,24,9,16,37,12,0.976449816469175,1.0,14887.0,0.0195963424949659,0.663831281781839,20.5749532716208,0.0295200648610078,0,4.362817248991007,ns
ALDH1L2,16,20,23,44,62,9,0.180708795643791,0.3967422396454,5629.0,0.834467384885629,0.623399406973026,28.2981568661698,1.3385758400661,0,4.822636184459322,ns
ALDH2,576,647,546,448,619,592,0.224661838023759,0.45091682831213,6245.0,-0.187099292856932,0.154089482260114,571.588243655275,-1.21422494327741,0,9.158832433369657,ns
ALDH3A2,1213,944,1244,1097,1043,961,0.0242068705603507,0.0998560219502377,2792.0,-0.227847508191793,0.10109347978889,1078.42482325296,-2.25382990740452,0,10.074709894725297,ns
ALDH4A1,135,147,91,131,125,163,0.771834770335146,0.889685478190994,12683.0,0.0773105030394385,0.266610212465449,131.585233145946,0.289975775213252,0,7.039853784756171,ns
ALDH5A1,862,711,736,816,973,780,0.579522512981349,0.775953241294661,10492.0,0.0607371633001021,0.1096175815426,806.531048255547,0.554082314582885,0,9.655586262277918,ns
ALDH6A1,455,371,425,436,396,446,0.664988168647358,0.830795040589486,11509.0,-0.0601836478633798,0.13898050550123,419.31717815691,-0.433036616511997,0,8.711898124023277,ns
ALDH7A1,1832,1785,1868,1611,1683,1781,0.0176605353151256,0.079547526937813,2529.0,-0.20628663566425,0.0869432103696151,1757.68517237398,-2.37265951863612,0,10.779460970086872,ns
ALDH9A1,1713,1484,1610,1752,1734,1697,0.840446726556862,0.927678491407742,13582.0,0.0147702437883229,0.073366233115111,1654.6963809581,0.201322095481562,0,10.692350806908788,ns
ALDOA,9383,7968,7118,7485,8150,7568,0.0123831346913958,0.0613409987546564,2293.0,-0.167189526881386,0.0668481667463551,7906.31756383001,-2.50103383561378,0,12.948790188031309,ns
ALDOC,39,63,28,33,40,59,0.876679933300457,0.946842699180273,13930.0,-0.0716995856404674,0.462043365343243,43.9136034349013,-0.155179342500034,0,5.4565960179731405,ns
ALG1,550,449,395,389,462,385,0.0705720641578981,0.211391260458049,3950.0,-0.264187178912009,0.146103343820933,436.221178073865,-1.80822130420096,0,8.768916002762234,ns
ALG10,114,115,145,140,90,108,0.350766947243911,0.587132672098109,7808.0,-0.248982381710194,0.266832774954685,118.404361637721,-0.93310269607052,0,6.8875784159883,ns
ALG10B,569,526,448,412,462,496,0.0694281835152467,0.208754676382111,3935.0,-0.261009075042946,0.143757287764682,484.786076506858,-1.81562325709842,0,8.921204453678476,ns
ALG11,1680,1475,1565,1866,1507,1518,0.582703927842466,0.778099323058048,10527.0,-0.0458865014489149,0.0835151243023227,1591.10073762982,-0.54943941989246,0,10.635809464817601,ns
ALG12,344,298,267,331,374,321,0.602255760091429,0.790825785755258,10725.0,0.0817367180194663,0.156836322646528,319.97241782006,0.521159363087603,0,8.321803737420906,ns
ALG13,1174,1029,1182,1563,1615,1376,0.0001064640277677,0.0014681455555891,807.0,0.330901471819952,0.0853858368045479,1309.30642029603,3.87536720612578,0,10.354587059033072,ns
ALG14,303,345,293,302,283,241,0.0822508589437287,0.235686052330382,4147.0,-0.291961915292304,0.168009258086845,294.018208139831,-1.73777277881548,0,8.199761691705842,ns
ALG2,521,362,441,657,617,708,0.0002813460404124,0.0032869634462752,954.0,0.496539338876708,0.136716271555137,544.423706178646,3.6318964321409,0,9.08858607814813,ns
ALG3,1755,1477,1407,1376,1523,1214,0.0026621489388283,0.0187019676190577,1588.0,-0.268006956009964,0.0892085404226164,1451.54077847005,-3.00427464388844,0,10.503369387160685,ns
ALG5,1523,1609,1451,1693,1706,1437,0.783513884840169,0.896309525516356,12791.0,-0.0239430044152323,0.0871469926810375,1561.54042351647,-0.274742749906069,0,10.608754201476156,ns
ALG6,501,417,400,385,355,370,0.0140564160170958,0.0670564134962531,2381.0,-0.339334544122596,0.138175746501361,403.376707839963,-2.45581842482938,0,8.655983970666748,ns
ALG8,876,869,768,750,789,625,0.0044174151223808,0.0278288743563699,1780.0,-0.315545834308416,0.110845954858626,777.31066197827,-2.84670590560445,0,9.602347494869777,ns
ALG9,394,369,345,369,417,389,0.949794663041086,0.977442343044321,14630.0,-0.0090547654688843,0.143807154710839,378.600766563706,-0.0629646382135248,0,8.564533521884853,ns
ALKAL1,27,12,7,6,14,3,0.217935528266314,1.0,6163.0,-1.07817328139443,0.875114872900086,11.3506357890145,-1.23203629007175,0,3.504701205088011,ns
ALKBH1,132,124,128,166,175,148,0.253010727315097,0.486434375463265,6599.0,0.25091958967759,0.219514310912254,144.178807037254,1.14306711318648,0,7.171715306993777,ns
ALKBH2,350,276,334,372,406,329,0.465192245862443,0.690571245279816,9084.0,0.110900345170281,0.151850912940336,341.39894879877,0.730323861891138,0,8.41531480594607,ns
ALKBH3,353,279,395,477,433,318,0.357113301110195,0.593282663218239,7882.0,0.156171921120145,0.169589949230712,371.62463988831,0.92087957941238,0,8.537702349908045,ns
ALKBH4,438,462,493,510,510,466,0.955319630449524,0.979717842888066,14673.0,-0.0074157423642527,0.132358174535366,477.753722347218,-0.0560278380257596,0,8.900123303565529,ns
ALKBH5,1916,1578,1654,1913,1657,1721,0.487847758380683,0.707315996334398,9358.0,-0.0535555000772765,0.0771986703725376,1728.36119513911,-0.693736042587699,0,10.755189029931236,ns
ALKBH6,609,582,528,690,640,580,0.639561485733506,0.814848164022455,11173.0,0.053876716015875,0.115044490889524,600.422390449875,0.468312003463184,0,9.229833967513956,ns
ALKBH7,130,117,104,81,171,106,0.831227195780226,0.922609001804184,13380.0,-0.0631522241788876,0.296311375708559,117.589118973231,-0.213127909881535,0,6.877610757350032,ns
ALKBH8,256,239,255,425,472,359,3.54865227403105e-05,0.0005810263848675,678.0,0.644549858380395,0.155874447565256,329.582179332754,4.1350578523177,0,8.3644944271887,up
ALMS1,428,356,508,582,599,563,0.0180270084670852,0.0807904000779626,2543.0,0.337324072265307,0.142627949092958,501.250558153166,2.36506290955257,0,8.969388127814813,ns
ALOX12B,85,79,34,60,74,43,0.516767261033676,0.729387586107418,9712.0,-0.258359212182623,0.398495486345356,62.0170786396169,-0.648336608657886,0,5.95459366322096,ns
ALPK1,49,42,71,43,57,95,0.646943864509678,0.819363815165081,11296.0,0.188042147130423,0.410561672092194,59.5730754532822,0.458011938065659,0,5.896588534859701,ns
ALPL,2,14,12,7,6,2,0.325605678952526,1.0,7501.0,-1.05306041964667,1.0712681479261,7.31132026857795,-0.983003575421633,0,2.8701319496717663,ns
ALPP,51,28,25,34,73,33,0.469963646085064,0.693809364536861,9141.0,0.346823026068552,0.480006488797805,39.9582543672294,0.722538203467173,0,5.3204216532241295,ns
ALS2,232,231,183,267,307,153,0.781598946504267,0.895310641770402,12775.0,0.0633567887272191,0.22853021612486,226.363716359682,0.27723593755586,0,7.8224989181609805,ns
ALX1,100,106,88,151,143,90,0.307456423007315,0.545960038066607,7260.0,0.277726719590021,0.272128020872065,111.612371203351,1.02057376781713,0,6.802353135262179,ns
ALX4,72,58,58,59,81,51,0.83358713399125,0.924071377515166,13518.0,-0.0720985398501028,0.343157755289588,62.6593003942612,-0.210103192303666,0,5.969456756658817,ns
ALYREF,910,1047,845,941,901,900,0.246349091393427,0.478432691315332,6511.0,-0.131515932750774,0.113447904905049,922.070135170716,-1.15926277229048,0,9.84873267992471,ns
AMACR,125,156,134,228,191,205,0.0253292249656454,0.102821130289457,2838.0,0.485393695376724,0.217047835439146,171.612966329074,2.23634432656121,0,7.423014750490659,ns
AMBN,26,13,24,22,20,15,0.694168402464804,1.0,11877.0,-0.235249868986523,0.598288761817896,19.7876626650043,-0.393204559403251,0,4.306529305011307,ns
AMBRA1,35,35,29,51,29,25,0.959836798746877,0.981769861134164,14727.0,-0.0238305714730766,0.473219539740926,33.6474061631499,-0.0503583843687502,0,5.072423388436348,ns
AMD1,2633,2403,2352,2207,2279,2041,2.48958945820704e-05,0.0004228494401412,653.0,-0.274560887815363,0.0651275454020284,2311.88537228127,-4.2157413751818,0,11.174854152681888,ns
AMDHD2,199,212,152,157,251,165,0.758941066742986,0.883772661482628,12540.0,-0.0724748242098292,0.236173082870286,188.511353821978,-0.306871652472076,0,7.55850760774811,ns
AMER1,54,47,44,45,41,52,0.677817729045409,0.83870269364334,11708.0,-0.159950612816664,0.385012294927619,47.0307424678603,-0.415442870069211,0,5.555532202891144,ns
AMFR,577,565,506,476,513,485,0.0415208267541178,0.146193204196034,3307.0,-0.256252269244646,0.1257191702865,519.29512932109,-2.03829112664899,0,9.020410883643985,ns
AMH,48,41,45,42,56,36,0.807071816810111,0.909481701188614,13145.0,-0.0974574580748103,0.399080016440814,44.3675407844953,-0.244205307356611,0,5.4714326841884295,ns
AMHR2,35,71,46,18,6,24,0.0015935159189296,0.0124574790253789,1427.0,-1.76695754886394,0.559678999459848,34.2396421105492,-3.15709102998191,0,5.097595716952523,down
AMIGO1,38,24,18,40,12,29,0.909089963809324,1.0,14269.0,-0.0659553876461489,0.577611147270015,26.5108109895682,-0.114186486804966,0,4.72850889910733,ns
AMIGO2,55,34,60,56,40,33,0.456740799217778,0.683350617969083,8998.0,-0.306598382054766,0.411970408357525,45.9490587684645,-0.744224283674006,0,5.521963404193263,ns
AMIGO3,31,35,71,76,70,94,0.0751516345302548,0.221288672392668,4025.0,0.709847262639779,0.398894176542027,62.3935703609346,1.77953779318959,0,5.963325462335096,ns
AMMECR1,828,661,779,755,680,585,0.0185942502774202,0.0825989485112613,2569.0,-0.263785834905153,0.112079163562153,710.715267355868,-2.35356712631847,0,9.473127880915897,ns
AMMECR1L,349,268,315,625,426,514,3.77321296667291e-05,0.0006105894627264,686.0,0.654370434194539,0.158791348618803,409.865631458736,4.12094512633325,0,8.679007210235715,up
AMN1,125,121,105,91,95,101,0.140164483480459,0.338883777379103,5049.0,-0.38317985092349,0.259751465235402,106.329738447898,-1.4751787851369,0,6.732401338018062,ns
AMOT,282,268,314,442,345,387,0.0316649221088006,0.121127601767676,3029.0,0.343939025046319,0.160074748535014,336.517905428545,2.14861512008615,0,8.394539459501011,ns
AMOTL1,662,506,602,582,569,529,0.156801395669076,0.363762711918706,5293.0,-0.167741924830485,0.118469209411757,571.612902000624,-1.41591157452122,0,9.158894669963265,ns
AMOTL2,483,360,362,561,501,445,0.0971590326855682,0.264353534765317,4402.0,0.229875742426981,0.138580756184344,446.449432788883,1.65878545301913,0,8.802352967145683,ns
AMPD2,356,340,329,458,409,367,0.234591105874822,0.463114031270715,6371.0,0.168282776199353,0.141578847189868,373.166107652435,1.18861524542344,0,8.543674150931807,ns
AMPD3,13,22,10,19,8,3,0.384449992663163,1.0,8192.0,-0.722758030628668,0.831017787470007,12.4915295225222,-0.869726306134877,0,3.6428782331188017,ns
AMPH,55,82,63,89,97,96,0.214088116246332,0.437195029148369,6115.0,0.391537198960554,0.31514522727183,79.928628855225,1.24240243886934,0,6.3206404354582535,ns
AMZ2,809,676,766,651,638,607,0.0012293714066787,0.0102765451698347,1334.0,-0.341676316270589,0.105717448771897,689.222323592246,-3.23197655864561,0,9.428825620319378,ns
ANAPC1,248,288,432,362,334,301,0.746701312292499,0.877899943630484,12416.0,-0.0655620868131628,0.202983634011169,326.72594765711,-0.322991984711216,0,8.351937223888694,ns
ANAPC10,348,277,410,466,457,447,0.0484122171985005,0.162905129772826,3476.0,0.30997596283799,0.157050680002231,397.081440683955,1.97373206428387,0,8.633291121629442,ns
ANAPC11,2119,1878,1639,1883,1752,1644,0.0203820199623774,0.0883141309923308,2645.0,-0.18914655248189,0.081555398460254,1809.71488816898,-2.31924012454026,0,10.821546710244329,ns
ANAPC13,616,475,577,477,409,455,0.0021092196206718,0.0156200447025205,1506.0,-0.406007246894677,0.132060374144159,500.265897281893,-3.07440630488804,0,8.966551298113313,ns
ANAPC15,766,533,548,555,637,505,0.118622955562911,0.302220568603719,4746.0,-0.210716548546481,0.135024536612494,586.209029820058,-1.56057968301875,0,9.195271380893757,ns
ANAPC16,1492,1365,1334,1465,1545,1407,0.806228442160161,0.909362115059942,13132.0,-0.0193328942415531,0.0788150468505822,1426.44821482581,-0.245294458534098,0,10.478211657540287,ns
ANAPC4,314,205,290,269,292,325,0.797779367846385,0.905007652586519,13043.0,0.0477798459727033,0.186478260665391,280.571455375387,0.256222070080531,0,8.132224430082728,ns
ANAPC5,1503,1510,1383,1644,1612,1375,0.764874998512669,0.886104287930087,12610.0,-0.025058828121104,0.0837849005486987,1495.63833014429,-0.299085252318691,0,10.546545634760912,ns
ANAPC7,1414,1075,1351,1580,1561,1428,0.0752907568853987,0.221530944218284,4027.0,0.157852963954463,0.0887468018993835,1388.35276740437,1.77868904091246,0,10.439158474423717,ns
ANG,30,23,33,30,40,43,0.510642023533777,0.725526212489626,9610.0,0.307787411295355,0.467876982319138,32.9532681364469,0.657838327010097,0,5.042349646325125,ns
ANGEL1,212,220,167,199,212,170,0.478274429555948,0.700715909001001,9253.0,-0.143525472918565,0.202410646457377,195.770350044131,-0.709080650798614,0,7.613018471144368,ns
ANGEL2,203,229,252,288,198,220,0.766882609514509,0.887527507112236,12627.0,-0.059825256173762,0.201802132876707,230.75132287716,-0.296455024141459,0,7.85019510851402,ns
ANK1,35,27,35,38,13,32,0.547979742023427,0.752582347668201,10116.0,-0.316788279414008,0.52728604291112,29.9069577976421,-0.600790185275976,0,4.902409258655378,ns
ANK2,75,69,85,83,84,90,0.807915369181574,0.909673617578523,13157.0,0.0721569978151373,0.296800431056387,80.6217206338502,0.243116216369068,0,6.33309666849354,ns
ANK3,419,440,439,513,461,533,0.392987720999545,0.625815046738767,8303.0,0.118822022994807,0.139101381847489,465.36072834846,0.854211665022015,0,8.862205657055393,ns
ANKAR,77,55,73,38,28,46,0.0125570565091312,0.0619823929540399,2300.0,-0.956176272308832,0.383069555152617,53.065920791535,-2.49609048656421,0,5.729713747084955,ns
ANKDD1A,12,17,8,4,13,4,0.301483038870751,1.0,7187.0,-0.926043408529138,0.896236123599474,9.73795803538496,-1.03325829448823,0,3.2836192834913636,ns
ANKEF1,20,20,34,22,9,26,0.446312330339678,1.0,8880.0,-0.46981398605312,0.616895998926473,21.964950504946,-0.761577294828777,0,4.457131343402971,ns
ANKFY1,725,696,678,783,654,751,0.755360124498326,0.88182277232684,12507.0,-0.0355072018145641,0.113958726797134,711.261490897326,-0.311579488578991,0,9.47423624506976,ns
ANKH,2588,2215,2242,2513,2194,2323,0.16962521289168,0.382026676467954,5479.0,-0.096385365419028,0.0701796484354173,2332.85261039677,-1.37340906613014,0,11.187879445406077,ns
ANKHD1,2283,2062,2545,3189,2989,2780,0.0003165226341079,0.0035701056385756,988.0,0.28011876899328,0.0777807778020976,2616.83738444952,3.60138811810294,0,11.353608559855257,ns
ANKHD1-EIF4EBP3,171,159,154,169,154,162,0.658984392531281,0.826367216270087,11446.5,-0.0919138047570111,0.208272184453017,160.779042268614,-0.441315795474098,0,7.3289355516045225,ns
ANKIB1,571,573,644,621,517,645,0.461998634786114,0.6880292911132,9047.0,-0.0999646621571672,0.135902835041131,593.950934528304,-0.735559799962326,0,9.214199946665408,ns
ANKLE1,18,26,24,11,9,26,0.323097796888096,1.0,7449.0,-0.648732322081363,0.65653723333817,19.2913155188137,-0.988112005137738,0,4.269879622294931,ns
ANKLE2,721,611,657,638,528,719,0.220729795110504,0.44576046186543,6203.0,-0.165835340146521,0.135421129377402,643.936525344207,-1.22458984730778,0,9.33077467456746,ns
ANKMY1,56,78,133,99,136,96,0.559327779177791,0.761012094209175,10234.0,0.198734928821962,0.340392634017806,99.3249974165771,0.583840274321466,0,6.634084945676534,ns
ANKMY2,239,196,246,294,246,269,0.385099182840986,0.61965299735002,8199.0,0.154276540349505,0.177627593001227,246.328756871652,0.868539272208904,0,7.944441250313069,ns
ANKRA2,71,77,56,80,58,66,0.763269591568172,0.885732826999451,12587.0,-0.0997726073711749,0.331261320961723,67.7042501000039,-0.301190030521865,0,6.081174495980705,ns
ANKRD1,13,20,30,25,49,43,0.142742336498753,0.34290904078612,5082.0,0.791967175132764,0.540350388546412,29.8317497106843,1.46565486380647,0,4.89877669290569,ns
ANKRD10,1783,1415,1691,1853,1719,1639,0.980886903176349,0.991515708628724,14928.0,-0.001892089733546,0.0789785560632706,1670.87024737271,-0.0239570058995538,0,10.706383988892986,ns
ANKRD11,1905,1707,2091,2573,2473,2204,0.0020319932354889,0.0152193027497752,1489.0,0.247525059153402,0.0802216105713056,2138.92311520218,3.08551595250494,0,11.062668909610077,ns
ANKRD12,853,865,1224,1238,1509,1181,0.159098791120517,0.367241949782138,5326.0,0.314151953696396,0.223102011051968,1136.01411740561,1.40810901800083,0,10.14976504818823,ns
ANKRD13A,599,389,486,667,549,562,0.191752360393105,0.409433151129806,5801.0,0.181620381159692,0.13912870840264,535.617761467186,1.30541268761067,0,9.065059992027244,ns
ANKRD13B,230,212,192,183,200,137,0.0579399391035139,0.183559150681538,3714.0,-0.385884604476461,0.203509312794722,191.615691973532,-1.89615206880336,0,7.582071902233968,ns
ANKRD13C,261,274,183,256,202,176,0.178191714768772,0.393424935121586,5594.0,-0.282310918131771,0.209687116751959,224.327930558957,-1.34634365002843,0,7.809465448051142,ns
ANKRD13D,107,115,109,94,91,80,0.11180554483124,0.290464159412965,4633.0,-0.422407696388053,0.265643528120318,99.3373936665008,-1.59012982313927,0,6.634264989903488,ns
ANKRD16,250,204,261,213,155,143,0.0043068727358824,0.0272735848494187,1770.0,-0.585054699053974,0.204939728597467,203.922475228358,-2.85476468158651,0,7.6718769799089355,down
ANKRD17,432,368,378,390,416,365,0.452962620039519,0.679596978653697,8972.0,-0.102682251640155,0.136821180691879,389.253382921312,-0.750485057363997,0,8.604565767300212,ns
ANKRD20A4P,10,14,7,19,28,12,0.25381489444292,1.0,6608.0,0.816274878177598,0.715320140543688,14.7395605258744,1.14113224542675,0,3.8816216046260728,ns
ANKRD23,2,2,3,43,24,13,0.0001475202142486,1.0,846.0,3.39405632895364,0.894300671177167,13.8166094468681,3.7952071806969,0,3.7883317211545005,ns
ANKRD26,1812,1649,2026,2632,2723,2259,1.05726654505343e-05,0.000206385969417,568.0,0.373085474164095,0.0846936526907319,2160.2471223164,4.40511729404867,0,11.07698064415608,ns
ANKRD27,413,301,398,455,434,432,0.277382783683131,0.515179234008105,6872.0,0.157407510754985,0.144913438659392,401.814921508997,1.0862174841145,0,8.650387329722781,ns
ANKRD28,781,552,676,872,792,698,0.228483331397184,0.455612261871769,6295.0,0.140658826989849,0.11679959697065,720.39598823845,1.20427493448625,0,9.492646336920345,ns
ANKRD29,105,72,69,104,106,86,0.537518109996018,0.744465632666079,9952.0,0.177419693002854,0.287752521284608,89.1875988606161,0.616570420341766,0,6.478771218642032,ns
ANKRD31,81,47,80,95,68,80,0.680804207672985,0.840197431695292,11743.0,0.135349574006989,0.329024727419861,74.3426393359401,0.411365963489646,0,6.216118003012768,ns
ANKRD33B,200,194,184,152,159,120,0.0121761372590094,0.0605588260359601,2283.0,-0.52386937120037,0.208962812968112,168.035035878723,-2.50699808142568,0,7.39261826098474,ns
ANKRD34A,31,30,32,39,47,12,0.938792439970325,0.973212860398496,14521.0,-0.0410635635827805,0.534767500126137,31.4361698850896,-0.076787694789034,0,4.97435354834926,ns
ANKRD36B,19,7,12,40,46,19,0.0236880039356033,1.0,2772.0,1.37586553688293,0.608210871801509,23.051310339613,2.26215215918064,0,4.5267768571138,ns
ANKRD36C,304,311,316,378,348,354,0.441846591206823,0.670623326358619,8831.0,0.115757000289579,0.150513855200647,333.196811697479,0.769078701327966,0,8.380230785645523,ns
ANKRD37,11,16,9,42,42,27,0.0079073154274236,1.0,2052.0,1.51290104934788,0.569615938110099,23.904802277418,2.6560019622475,0,4.579228567731798,ns
ANKRD39,386,306,343,377,346,357,0.834256731638133,0.924467222097638,13523.0,-0.0304455960416988,0.145501917986199,350.144163221468,-0.209245324481473,0,8.45180522824022,ns
ANKRD40,639,575,564,634,578,618,0.650485429254233,0.821599584725366,11357.0,-0.0520541018080633,0.114887417713167,598.261982152369,-0.453087925938277,0,9.224633576513327,ns
ANKRD42,96,118,160,177,127,94,0.923796830714819,0.965760552629503,14399.0,-0.0276691729829944,0.289268643292808,127.867582156322,-0.0956521684066069,0,6.998506738666579,ns
ANKRD44,68,69,81,117,164,137,0.0023697395269796,0.0171107561722941,1545.0,0.842874788731573,0.277307372301156,104.67652251456,3.03949650432016,0,6.709794091929664,up
ANKRD46,283,311,309,231,253,266,0.0375674797496989,0.136241944691737,3207.0,-0.364579792278063,0.175317274631085,276.066137899376,-2.07954289185272,0,8.108870128477086,ns
ANKRD49,202,160,150,234,198,203,0.270555403910096,0.506705418368671,6802.0,0.218728544872981,0.198522088600033,189.117128603555,1.10178442316138,0,7.563136225893184,ns
ANKRD50,163,167,237,166,98,188,0.120316956264148,0.30507960975064,4770.0,-0.421679002235874,0.27144772584216,170.535195394808,-1.55344459389971,0,7.413925706042014,ns
ANKRD52,460,405,393,266,270,323,5.49222334869186e-05,0.000837488618047,729.0,-0.638903724417584,0.158394308821891,353.724064703071,-4.0336280335426,0,8.466480562183017,down
ANKRD54,286,269,266,311,301,328,0.525365286956534,0.736652778894087,9809.0,0.101815874420537,0.160315522224505,291.846986309924,0.635096795417943,0,8.189068360416751,ns
ANKRD55,28,11,23,17,12,10,0.257435948575678,1.0,6651.0,-0.755922083815693,0.667497230192328,16.6871129596224,-1.13247224051834,0,4.060662470251816,ns
ANKRD6,284,286,308,356,361,321,0.357695414009908,0.593765204621218,7888.0,0.141838732035738,0.154211873607126,317.175771698053,0.919765311957039,0,8.30913876098666,ns
ANKRD63,43,25,37,30,39,5,0.311813723551071,0.551009892572499,7307.0,-0.614152385387567,0.607215786323577,29.4861129475931,-1.01142361450447,0,4.881963744318366,ns
ANKRD7,22,12,9,13,55,2,0.47881799502237,1.0,9258.0,0.606954827886593,0.857032743348954,18.3060016455813,0.708204946190093,0,4.194244810325908,ns
ANKRD9,282,263,189,196,219,177,0.0430764406851635,0.150044420472545,3348.0,-0.405106333069239,0.200253449953121,220.394038052183,-2.02296805954691,0,7.78394138741843,ns
ANKS1A,215,199,163,245,167,157,0.576708331677009,0.774408998421009,10456.0,-0.121547253924699,0.217748865688848,189.483313313886,-0.558199251877545,0,7.5659269940587235,ns
ANKS1B,25,20,14,13,10,10,0.167999483483364,1.0,5462.0,-0.929868297711245,0.674472332437491,15.3283803181551,-1.37866040308988,0,3.938133356762342,ns
ANKS3,183,170,149,249,306,215,0.009013504900893,0.0481444302502024,2122.0,0.519470983104804,0.198913547530927,209.171568595045,2.61154149404548,0,7.708542958020862,ns
