rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SRGAP1,113,71,104,52,84,55,0.211965669604895,0.566874084498899,4375.0,-0.462280886266356,0.37036438290341,76.5389623204668,-1.24817857117464,0,6.258122436640247,ns
SRGAP2,95,121,179,129,152,134,0.542134766737976,0.829405757670301,8577.0,0.198666845878282,0.325903475525087,133.420701912962,0.60958799398563,0,7.059838726087032,ns
SRGAP2C,196,128,160,200,125,105,0.929880447147269,0.981729457174796,13179.0,0.0306097390010302,0.347856698151215,151.819570942491,0.0879952554132621,0,7.246213969208799,ns
SRGAP3,17,2,6,7,21,22,0.245356859173138,1.0,4828.0,1.16974772423059,1.00692650301148,11.870782536422,1.16170119738844,0,3.569343137213708,ns
SRI,534,449,532,338,513,295,0.141597810845738,0.472835546931305,3406.0,-0.290541957160794,0.19766548987807,430.833453392211,-1.46986688136617,0,8.750986466512066,ns
SRM,1328,526,1239,1074,723,767,0.941666394787066,0.985000470838812,13310.0,-0.0303679379933809,0.415000960648738,919.794093293061,-0.073175584812886,0,9.845167122865293,ns
SRP14,689,750,829,431,775,609,0.198131442885139,0.550188671389427,4197.0,-0.23493108240964,0.182556753155063,663.541705578791,-1.28689340903258,0,9.37404333591394,ns
SRP19,1144,1080,1379,1059,1521,1362,0.0742242796992842,0.339852131334085,2388.0,0.246478439586692,0.138065494446275,1234.56947769305,1.78522838436365,0,10.269792313773566,ns
SRP54,219,215,199,273,296,244,0.0501610457699266,0.275574016421902,1960.0,0.484512606841398,0.247378512041205,240.766986456016,1.95858808771837,0,7.911493775637269,ns
SRP68,658,425,622,594,711,575,0.0731363893839946,0.336891639208888,2375.0,0.293386304230519,0.163721988347412,585.44989827772,1.79197862908899,0,9.193401902603616,ns
SRP72,414,346,468,424,502,380,0.229506559842265,0.582825134816567,4618.0,0.227693806453901,0.189487307955755,415.650347111659,1.2016309108527,0,8.699226606117472,ns
SRP9,637,529,707,293,704,589,0.47071266884339,0.790946948649235,7646.0,-0.149880454325791,0.207786362714576,554.617587952881,-0.721319976767065,0,9.115349557414408,ns
SRPK1,1140,858,949,780,996,842,0.778108430760945,0.931928363187514,11325.0,-0.0403298888681053,0.14312294688408,907.865545801898,-0.281784925101982,0,9.826334841070652,ns
SRPK2,366,293,458,282,372,286,0.581655284124482,0.848691915453164,9023.0,-0.110943448249503,0.201360790844275,333.44393936166,-0.550968476952908,0,8.381300416841473,ns
