baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	98.8898185977113	-0.447331174831564	0.567761489680024	-0.787885728360458	0.430763549786255	0.911453058844175
A1CF	0	NA	NA	NA	NA	NA
A2M	0.0721668218435136	-0.609801699359746	6.22967746311248	-0.097886560415132	0.922022371967362	NA
A2ML1	0	NA	NA	NA	NA	NA
A4GALT	4.28616526087722	1.57566511217385	3.46698429207864	0.454477141928195	0.649485440412737	0.977835308485984
A4GNT	0	NA	NA	NA	NA	NA
AAAS	550.862577104222	0.546805230575215	0.2206711246776	2.4779192627676	0.0132151045056092	0.220155163456236
AACS	273.257206979682	-0.0399620971989152	0.329666287724189	-0.121219847727799	0.903516903827676	0.989173377131726
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADACL4	0	NA	NA	NA	NA	NA
AADAT	95.5434456711279	-0.957145365301467	0.576101952078674	-1.66141663267747	0.0966297995834414	0.548593533798689
AAGAB	1091.48924727056	0.300575072179208	0.168022266951203	1.78890023110152	0.0736308845861362	0.495662702892125
AAK1	158.377142660195	0.130795656907982	0.5244180124199	0.249411068671025	0.803042824073273	0.977835308485984
AAMDC	331.22755283428	-0.0791807035138413	0.342861119462813	-0.23094104002781	0.817360607051435	0.977835308485984
AAMP	2304.92041029056	0.107867076471654	0.136155298778345	0.792235612124485	0.428223307299827	0.910007061451917
AANAT	1.06790062756599	3.51904131437895	6.14251280376506	0.572899304698551	0.566712875400941	0.969086127410472
AAR2	1018.9364868036	-0.0455932854064345	0.154549855100944	-0.295006976076783	0.767988550610036	0.977835308485984
AARD	84.4246016481566	0.720560056357115	0.540096032314596	1.33413321566007	0.182160201823781	0.703188540441623
AARS1	1573.94108160453	0.000444737282982465	0.16476326741724	0.00269925020275441	0.997846312552756	0.999232301875039
AARS2	430.574400746106	0.756849278424631	0.259098355391052	2.92108870117039	0.00348810502021214	0.0987101121607696
AARSD1	643.306719519026	0.56344048691375	0.209317249496486	2.69180150355075	0.00710672289223268	0.157074138085259
AASDH	209.391248689717	0.0321994224517302	0.424010875706191	0.0759400862020391	0.939466764742717	0.991816425564769
AASDHPPT	1229.40106513529	-0.0305000307603043	0.146999376880879	-0.207484081956483	0.835631822952023	0.980051056694986
AASS	1074.91046845069	-0.102511049941856	0.192476991552226	-0.532588592096946	0.594318400747538	0.975657628646334
AATF	2.74236842300494	16.8535875730424	4.75712370464887	3.54281045005668	0.000395887143929507	0.022035777055488
AATK	27.9404176252767	1.50807016773026	1.34944785402461	1.11754608615114	0.263760906012736	0.8018755255086
ABAT	123.42169499355	-1.80417978603453	0.693245349823243	-2.60251264071882	0.00925434035199229	0.182198586383827
ABCA1	1.57116490267439	5.45433158075774	5.49622651553894	0.992377509430742	0.321013405928676	0.84228340883355
ABCA10	0.762418980297382	-21.2583823033788	6.12224020595947	-3.47232084796111	0.000515979266881526	0.027003483190511
ABCA12	1.8752279267371	-4.68421707826895	4.36409888031013	-1.07335264546895	0.283112922759594	0.81741493924818
ABCA13	0.834087334392369	-3.77907322181407	6.13911698966983	-0.615572765297199	0.538176530695358	0.96005569397051
ABCA2	11.983526363675	-2.53798574298991	1.85765978377751	-1.36622742503957	0.171867592077788	0.692041314908965
ABCA3	151.079084710505	-0.933947608017209	0.411976257042418	-2.26699376979156	0.0233906063133203	0.28958929912188
ABCA4	0.423110227528253	-29.6647373529822	6.1400173674083	-4.83137678249005	1.35592123816092e-06	0.000230658961188273
ABCA5	71.833651570283	0.194161068236676	0.598320235213381	0.324510281968705	0.745551739205446	0.977835308485984
ABCA6	0	NA	NA	NA	NA	NA
ABCA7	14.6101583694441	-3.11231922895936	1.52339789736909	-2.04301137236329	0.0410513123587614	0.386065011164201
ABCA8	0	NA	NA	NA	NA	NA
ABCA9	0.0840868017126116	1.25519884709348	6.23046118473613	0.201461626976918	0.840337631492239	NA
