gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
ARL5A	446	258	364	115	286	216
ARL5B	615	497	713	473	788	497
ARL5C	0	0	0	0	0	0
ARL6	64	33	69	52	49	63
ARL6IP1	1853	1264	1804	971	1289	1147
ARL6IP4	209	81	160	123	69	79
ARL6IP5	624	485	597	250	534	371
ARL6IP6	150	51	124	111	113	106
ARL8A	531	471	534	209	338	254
ARL8B	497	309	409	294	425	358
ARL9	6	0	5	0	4	0
ARMC1	794	843	810	701	923	699
ARMC10	2	0	4	0	0	0
ARMC12	0	0	0	0	0	0
ARMC2	41	45	38	21	32	23
ARMC3	0	0	0	0	0	0
ARMC5	159	113	208	97	160	95
ARMC6	206	69	141	149	100	66
ARMC7	84	41	141	92	70	58
ARMC8	224	154	183	94	229	130
ARMC9	453	236	490	272	335	269
ARMCX1	0	0	0	0	0	0
ARMCX2	74	55	86	39	88	106
ARMCX3	237	219	291	208	392	337
ARMCX4	8	8	1	0	11	0
ARMCX5	58	53	67	90	119	94
ARMCX5-GPRASP2	65	42	13	14	45	42
ARMCX6	0	0	0	0	0	0
ARMH1	1	1	0	0	8	4
ARMH2	0	0	0	0	0	0
ARMH3	81	101	144	56	158	90
ARMH4	10	25	9	0	23	8
ARMS2	0	0	0	0	0	4
ARMT1	126	96	191	121	197	147
ARNT	133	126	106	73	115	63
ARNT2	45	34	55	47	65	8
ARNTL	17	10	39	39	43	26
ARNTL2	71	53	51	61	71	75
ARPC1A	160	182	161	134	149	94
ARPC1B	201	167	242	163	118	114
ARPC2	1490	1198	1278	613	1023	832
ARPC3	457	376	375	263	337	331
ARPC4	257	69	244	252	118	134
ARPC4-TTLL3	302	131	342	269	176	154
ARPC5	1370	1011	1336	684	1061	741
ARPC5L	673	502	809	391	632	507
ARPIN	63	37	51	115	100	45
ARPIN-AP3S2	110	163	94	76	143	221
ARPP19	731	439	592	489	567	425
ARPP21	0	0	0	0	0	0
ARR3	0	0	0	0	0	0
ARRB1	41	10	18	13	17	2
ARRB2	599	275	469	420	340	360
ARRDC1	38	14	38	26	7	19
ARRDC2	38	23	67	47	58	31
ARRDC3	53	70	45	55	97	84
ARRDC4	86	53	72	119	220	131
ARRDC5	0	0	0	0	0	0
ARSA	0	0	0	1	3	0
ARSB	84	48	78	22	47	24
ARSD	0	0	0	0	0	0
ARSF	0	0	0	0	0	0
ARSG	6	1	0	0	0	1
ARSH	0	0	0	0	0	0
ARSI	0	0	0	0	0	0
ARSJ	134	54	89	14	31	56
ARSK	232	135	210	85	275	144
ARSL	0	0	0	1	0	2
ART1	0	0	0	0	0	0
ART3	0	0	0	0	0	0
ART4	0	0	0	0	0	0
ART5	5	11	7	0	3	0
ARTN	10	10	8	0	13	1
ARV1	522	511	547	384	524	304
ARVCF	6	29	12	21	34	8
ARX	12	6	0	0	19	0
AS3MT	20	37	65	0	32	41
ASAH1	143	102	183	95	140	114
ASAH2	5	9	10	3	3	14
ASAH2B	58	34	114	50	101	41
ASAP1	536	409	469	422	501	384
ASAP2	46	18	34	21	38	24
ASAP3	0	0	0	0	0	0
ASB1	122	84	151	120	111	50
ASB10	0	0	0	0	0	0
ASB11	0	0	0	0	0	0
ASB12	6	0	0	11	0	7
ASB13	126	38	174	21	73	76
ASB14	0	0	0	0	8	0
ASB15	0	0	0	0	0	0
ASB16	0	0	0	0	0	0
ASB17	0	0	0	0	0	0
ASB18	0	0	0	0	0	0
ASB2	0	0	0	0	0	0
ASB3	184	186	254	178	408	344
ASB4	0	0	0	0	0	0
ASB5	0	0	0	0	0	0
ASB6	492	385	443	357	480	360
ASB7	269	233	289	245	341	265
ASB8	583	565	670	323	623	566
ASB9	0	0	0	0	0	0
ASCC1	236	161	257	222	293	294
ASCC2	177	98	214	197	161	218
ASCC3	413	330	398	383	559	603
ASCL1	0	0	0	0	0	0
ASCL2	0	0	0	0	0	0
ASCL3	0	0	0	0	0	0
ASCL4	0	0	0	0	0	0
ASCL5	0	0	1	0	0	0
ASDURF	35	58	81	59	45	31
ASF1A	383	300	391	349	477	341
ASF1B	0	0	0	0	0	0
ASGR1	3	6	9	0	8	5
ASGR2	0	0	0	0	0	0
ASH1L	771	628	833	447	808	748
ASH2L	182	157	152	52	163	121
ASIC1	32	8	1	2	18	7
ASIC2	0	0	0	0	0	0
ASIC3	1	0	2	0	0	0
ASIC4	0	0	0	0	0	0
ASIC5	0	0	0	0	0	0
ASIP	0	0	0	0	0	0
ASL	15	10	17	33	22	33
ASMT	0	0	0	0	0	0
ASMTL	0	0	0	0	0	0
ASNS	314	304	385	655	1041	1062
ASNSD1	382	174	317	264	425	319
ASPA	0	0	0	0	0	0
ASPDH	0	0	0	0	0	0
ASPG	0	0	0	0	0	0
ASPH	188	190	233	93	199	152
ASPHD1	1	0	0	0	0	0
ASPHD2	51	76	71	70	59	55
ASPM	313	359	320	173	363	372
ASPN	0	0	0	0	0	0
ASPRV1	12	0	7	0	5	2
ASPSCR1	67	13	52	47	40	64
ASRGL1	207	90	132	115	183	141
ASS1	37	5	24	8	23	6
ASTE1	126	100	144	57	187	191
ASTL	0	0	0	0	0	0
ASTN1	13	0	20	0	0	10
ASTN2	11	9	2	4	0	0
ASXL1	545	297	480	317	491	305
ASXL2	177	131	162	82	315	180
ASXL3	38	49	46	8	43	19
ASZ1	0	0	0	0	0	0
ATAD1	498	350	401	422	576	486
ATAD2	407	421	487	320	444	418
ATAD2B	34	31	15	40	50	40
ATAD3A	116	88	111	111	79	133
ATAD3B	81	64	44	67	65	85
ATAD3C	0	0	0	0	0	0
ATAD5	17	46	50	23	119	65
ATAT1	0	0	0	0	0	0
ATCAY	0	0	0	0	0	0
ATE1	212	223	196	94	220	274
ATF1	269	309	394	299	433	232
ATF2	287	143	226	200	319	274
ATF3	285	337	265	2390	2969	2395
ATF4	3525	3327	3535	5333	8625	7206
ATF5	83	37	81	40	70	68
ATF6	339	201	322	291	433	444
ATF6B	0	0	0	0	0	0
ATF7	249	167	198	139	276	125
ATF7-NPFF	0	3	0	0	8	3
ATF7IP	209	132	187	108	198	226
ATF7IP2	9	22	5	12	20	22
ATG10	122	71	114	40	94	85
ATG101	565	187	523	498	263	261
ATG12	352	433	431	358	612	374
ATG13	170	80	227	199	186	147
ATG14	99	64	109	18	54	47
ATG16L1	0	0	0	0	0	0
ATG16L2	19	15	33	18	18	28
ATG2A	56	19	13	14	23	34
ATG2B	38	18	45	63	76	33
ATG3	213	208	194	140	273	172
ATG4A	74	66	53	48	88	93
ATG4B	219	80	120	178	136	161
ATG4C	198	199	210	31	288	154
ATG4D	55	6	29	13	18	31
ATG5	449	395	491	349	544	327
ATG7	257	142	296	175	233	260
ATG9A	78	27	54	11	39	42
ATG9B	5	0	0	0	0	0
ATIC	715	593	854	547	704	561
ATL1	126	76	69	49	99	63
ATL2	264	198	298	195	217	204
ATL3	6	7	12	8	16	2
ATM	83	61	79	92	169	124
ATMIN	178	145	172	130	158	90
ATN1	101	40	86	26	68	35
ATOH1	4	0	2	4	0	0
ATOH7	19	15	0	0	10	0
ATOH8	4	6	4	3	29	12
ATOX1	253	138	243	188	134	127
ATP10A	0	0	0	0	1	0
ATP10B	0	0	0	0	0	0
ATP10D	6	19	12	16	18	17
ATP11A	111	79	76	37	69	79
ATP11B	106	89	140	127	161	83
ATP11C	46	45	97	67	65	48
ATP12A	6	5	1	0	0	0
ATP13A1	100	48	60	62	63	40
ATP13A2	4	6	27	26	20	6
ATP13A3	174	132	196	138	170	202
ATP13A4	0	0	0	0	0	0
ATP13A5	0	0	0	0	0	0
ATP1A1	315	249	324	212	451	303
ATP1A2	0	0	0	0	0	0
ATP1A3	1	0	4	0	4	0
ATP1A4	0	0	0	0	0	0
ATP1B1	1122	1024	1121	669	1351	1049
ATP1B2	19	1	9	19	0	1
ATP1B3	873	846	890	676	986	704
ATP1B4	0	0	0	0	0	0
ATP23	0	0	0	0	0	0
ATP2A1	0	11	0	0	7	0
ATP2A2	961	696	956	1088	1669	1454
ATP2A3	0	0	0	11	4	0
ATP2B1	498	445	714	484	761	388
ATP2B2	0	0	0	0	0	0
ATP2B3	6	0	0	0	0	0
ATP2B4	191	128	135	51	105	132
ATP2C1	125	78	101	14	95	79
ATP2C2	0	1	0	0	0	5
ATP4A	9	0	0	0	2	0
ATP4B	0	0	0	0	0	0
ATP5F1A	687	509	679	528	695	594
ATP5F1B	1731	1153	1702	1330	1422	1116
ATP5F1C	1283	1146	1178	767	1265	950
ATP5F1D	50	22	61	26	20	37
ATP5F1E	1073	883	843	524	660	563
ATP5IF1	0	0	3	0	3	3
ATP5MC1	2543	1328	2277	1021	867	1179
ATP5MC2	1273	435	1216	972	376	448
ATP5MC3	1984	1920	1893	1226	1763	1469
ATP5ME	1213	1055	851	637	873	626
ATP5MF	1311	950	1001	682	716	707
ATP5MF-PTCD1	39	11	27	7	55	39
ATP5MG	1074	1170	1160	661	930	949
ATP5MGL	8	19	23	8	12	11
ATP5MJ	1289	1105	1041	815	996	802
ATP5MK	281	167	231	214	181	210
ATP5PB	804	725	937	753	859	860
ATP5PD	525	427	418	280	464	451
ATP5PF	1450	1306	1364	775	1191	918
ATP5PO	1317	1049	1099	813	1251	908
ATP6AP1	199	158	204	188	140	210
ATP6AP2	246	162	248	177	337	227
ATP6V0A1	141	85	167	99	138	118
ATP6V0A2	155	137	117	116	174	177
ATP6V0A4	0	0	0	0	0	0
ATP6V0B	525	166	397	261	165	215
ATP6V0C	1930	754	1552	810	609	801
ATP6V0D1	104	19	105	87	47	38
ATP6V0D2	0	0	0	0	0	0
ATP6V0E1	1361	1164	1487	746	1036	825
ATP6V0E2	318	162	310	232	112	102
ATP6V1A	770	452	596	569	694	530
ATP6V1B1	0	0	0	0	0	0
ATP6V1B2	207	246	252	327	256	228
ATP6V1C1	129	112	97	134	74	68
ATP6V1C2	0	7	0	15	10	1
ATP6V1D	511	425	461	418	508	499
ATP6V1E1	620	406	715	622	411	447
ATP6V1E2	0	4	8	5	4	3
ATP6V1F	586	167	406	290	108	242
ATP6V1FNB	12	11	15	14	19	11
ATP6V1G1	1364	1045	1251	670	1040	723
ATP6V1G2	0	0	0	0	0	0
ATP6V1G2-DDX39B	0	0	0	0	0	0
ATP6V1G3	0	0	0	0	0	0
ATP6V1H	99	116	102	80	175	150
ATP7A	56	52	48	34	53	18
ATP7B	49	41	87	48	22	37
ATP8A1	80	39	47	46	68	76
ATP8A2	25	15	4	1	13	0
ATP8B1	4	9	8	0	0	7
ATP8B2	82	47	79	79	78	60
ATP8B3	0	0	11	0	0	0
ATP8B4	1	0	8	0	3	0
ATP9A	72	52	122	54	82	111
ATP9B	91	38	69	34	120	137
ATPAF1	513	513	605	350	565	272
ATPAF2	69	43	97	135	93	63
ATPSCKMT	107	87	136	31	90	89
ATR	177	96	138	60	223	186
ATRAID	255	101	190	118	174	121
ATRIP	90	26	104	66	49	49
ATRN	68	75	25	11	43	59
ATRNL1	89	54	92	35	43	72
ATRX	938	986	1170	773	1272	1076
ATXN1	224	178	271	49	165	75
ATXN10	273	256	301	144	327	315
ATXN1L	108	121	158	70	114	103
ATXN2	875	587	976	582	923	866
ATXN2L	624	103	578	604	970	614
ATXN3	209	213	234	247	228	191
ATXN3L	0	0	0	0	0	0
ATXN7	227	124	239	199	362	291
ATXN7L1	221	63	111	124	172	186
ATXN7L2	124	27	44	91	57	39
ATXN7L3	288	235	325	186	215	162
ATXN7L3B	764	481	744	415	498	433
AUH	32	25	11	10	46	15
AUNIP	267	181	259	263	360	294
AUP1	95	95	46	79	120	113
AURKA	674	429	633	153	331	360
AURKAIP1	459	231	440	152	249	274
AURKB	1821	944	1779	1535	1267	1488
AURKC	9	5	8	6	4	4
AUTS2	1122	809	962	923	1219	1192
AVEN	74	84	84	63	73	121
AVIL	0	4	0	0	0	0
AVL9	65	85	123	16	80	125
AVP	0	0	0	0	0	0
AVPI1	127	64	127	92	94	102
AVPR1A	0	7	0	11	13	0
AVPR1B	0	0	0	10	0	0
AVPR2	0	0	0	0	0	0
AWAT1	0	0	0	0	0	0
AWAT2	0	0	0	0	0	0
AXDND1	0	0	0	0	0	6
AXIN1	272	72	235	93	142	140
AXIN2	60	23	48	10	52	30
AXL	0	0	0	0	0	0
AZGP1	0	0	0	0	0	0
AZI2	173	159	207	180	212	178
AZIN1	416	301	384	533	551	491
AZIN2	6	10	5	0	10	2
AZU1	0	0	0	0	0	0
B2M	1	0	0	0	5	7
B3GALNT1	16	12	0	0	14	9
B3GALNT2	0	0	0	0	0	0
B3GALT1	0	0	0	0	0	0
B3GALT2	0	0	0	0	0	0
B3GALT4	0	0	0	0	0	0
B3GALT5	0	23	26	11	37	19
B3GALT6	1014	643	1075	725	808	862
B3GALT9	70	28	57	25	27	49
B3GAT1	22	20	10	5	7	13
B3GAT2	32	69	82	23	4	33
B3GAT3	55	6	8	43	18	15
B3GLCT	66	49	86	45	41	32
B3GNT2	70	68	44	50	107	77
B3GNT3	0	0	2	0	0	0
B3GNT4	10	16	39	0	17	8
B3GNT5	99	131	93	16	131	50
B3GNT6	0	0	0	0	0	0
B3GNT7	0	0	10	0	0	0
B3GNT8	0	4	22	18	0	0
B3GNT9	0	0	1	0	3	0
B3GNTL1	7	0	0	9	0	0
B4GALNT1	29	11	45	7	37	4
B4GALNT2	0	0	0	0	0	0
B4GALNT3	0	5	0	0	18	0
B4GALNT4	14	7	14	0	6	15
B4GALT1	323	279	360	249	351	338
B4GALT2	333	204	395	170	219	219
B4GALT3	204	166	207	72	119	107
B4GALT4	99	71	64	105	85	58
B4GALT5	667	543	718	215	325	253
B4GALT6	101	42	89	37	51	53
B4GALT7	217	136	141	63	180	113
B4GAT1	158	154	245	96	110	111
B9D1	26	13	19	26	12	19
B9D2	24	11	27	30	25	40
BAALC	8	0	2	0	1	0
BAAT	1	0	9	0	0	0
BABAM1	842	511	699	538	504	502
BABAM2	84	35	35	36	27	28
BACE1	57	88	47	5	79	30
BACE2	301	128	219	119	119	123
BACH1	417	330	443	332	584	482
BACH2	0	0	5	0	0	0
BAD	48	5	21	15	27	21
BAG1	284	184	278	164	222	192
BAG2	525	528	654	398	610	458
BAG3	326	290	496	374	373	228
BAG4	382	474	438	244	390	376
BAG5	653	435	699	533	762	596
BAG6	0	0	5	0	0	0
BAHCC1	87	133	62	44	78	57
BAHD1	353	318	409	340	317	252
BAIAP2	131	87	104	31	39	68
BAIAP2L1	282	221	281	221	263	211
BAIAP2L2	0	0	0	0	0	0
BAIAP3	0	0	0	0	0	0
BAK1	0	0	17	0	2	10
BAMBI	475	308	298	289	582	382
BANF1	54	14	70	63	55	39
BANF2	0	0	0	0	0	0
BANK1	0	0	0	0	0	0
BANP	208	103	159	130	172	155
BAP1	101	101	82	43	43	32
BARD1	509	373	494	551	767	756
BARHL1	0	0	0	0	0	0
BARHL2	74	62	80	76	105	51
BARX1	0	9	0	24	0	5
BARX2	163	154	170	177	257	202
BASP1	2606	1783	2526	1414	2018	1677
BATF	0	0	0	0	0	0
BATF2	2	12	0	0	3	7
BATF3	238	101	144	90	86	74
BAX	9	27	20	16	40	29
BAZ1A	1296	1037	1300	774	1727	1306
BAZ1B	183	132	220	152	144	173
BAZ2A	522	314	476	305	443	320
BAZ2B	19	31	21	1	35	23
BBC3	332	318	376	373	678	361
BBIP1	100	118	167	100	145	84
BBLN	12	3	16	2	6	5
BBOF1	12	11	9	13	7	14
BBOX1	0	0	0	0	0	0
BBS1	102	47	132	60	84	97
BBS10	73	45	144	35	133	123
BBS12	18	8	39	40	85	16
BBS2	173	68	114	121	149	80
BBS4	174	169	180	85	210	96
BBS5	29	6	41	27	52	31
BBS7	47	12	35	47	19	14
BBS9	46	21	72	9	46	50
BBX	915	760	885	318	806	773
BCAM	8	0	0	0	1	0
BCAN	5	0	0	0	0	0
BCAP29	3	8	5	0	0	5
BCAP31	91	19	46	49	20	31
BCAR1	3	0	6	0	6	8
BCAR3	20	10	42	14	33	13
BCAS1	0	0	0	0	0	0
BCAS2	514	436	513	364	672	425
BCAS3	291	264	382	211	434	463
BCAS4	41	16	40	39	24	33
BCAT1	686	744	752	476	954	819
BCAT2	140	35	123	51	62	102
BCCIP	855	604	862	452	849	606
BCDIN3D	204	103	137	45	185	130
BCHE	0	0	0	0	0	0
BCKDHA	210	106	136	79	211	146
BCKDHB	89	51	101	37	110	72
BCKDK	120	69	121	105	72	66
BCL10	471	341	403	432	850	616
BCL11A	823	547	840	430	667	473
BCL11B	249	181	289	102	258	182
BCL2	158	138	100	61	179	130
BCL2A1	0	0	0	0	1	1
BCL2L1	16	8	40	0	17	12
BCL2L10	0	0	0	0	0	0
BCL2L11	305	209	418	298	369	156
BCL2L12	369	157	235	303	203	150
BCL2L13	422	290	370	344	494	415
BCL2L14	0	0	0	0	0	0
BCL2L15	11	1	0	0	4	6
BCL2L2	130	40	101	189	106	120
BCL2L2-PABPN1	1270	1065	1077	739	1270	996
BCL3	1	4	7	1	17	4
BCL6	40	19	23	12	83	33
BCL6B	0	0	0	0	0	0
BCL7A	0	0	0	1	1	1
BCL7B	268	176	313	227	310	249
BCL7C	334	135	247	164	131	154
BCL9	97	54	71	38	36	62
BCL9L	51	12	41	25	36	28
BCLAF1	1237	1036	1223	957	1941	1435
BCLAF3	34	42	47	39	20	36
BCO1	0	0	0	0	0	0
BCO2	1	0	0	0	3	0
BCOR	1059	774	1006	735	1274	953
BCORL1	238	115	159	40	151	135
BCR	180	96	155	72	94	105
BCS1L	182	178	197	225	241	145
BDH1	0	0	0	0	0	0
BDH2	39	10	38	23	41	38
BDKRB1	0	0	0	0	0	0
BDKRB2	0	0	0	13	0	1
BDNF	6	2	9	0	4	4
BDP1	0	0	0	1	0	0
BEAN1	0	0	0	0	5	0
BECN1	335	349	423	231	347	349
BEGAIN	15	3	7	8	5	4
BEND2	0	0	0	0	0	0
BEND3	110	117	129	51	108	71
BEND4	15	39	81	65	34	61
BEND5	2	0	11	0	17	22
BEND6	32	15	20	0	7	1
BEND7	257	109	213	149	205	120
BEST1	7	0	0	28	4	4
