gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
GADL1	8	2	7	0	6	3
GAGE1	0	0	0	0	0	0
GAGE10	0	0	0	0	0	0
GAGE12B	0	0	0	0	0	0
GAGE12C	0	0	0	0	0	0
GAGE12D	0	0	0	0	0	0
GAGE12E	0	0	0	0	0	0
GAGE12F	0	0	0	0	0	0
GAGE12G	0	0	0	0	0	0
GAGE12H	0	0	0	0	0	0
GAGE12J	0	0	0	0	0	0
GAGE13	0	0	0	0	0	0
GAGE2A	0	0	0	0	0	0
GAK	594	234	428	350	325	260
GAL	0	0	0	0	0	0
GAL3ST1	34	11	18	0	0	0
GAL3ST2	0	0	0	0	0	0
GAL3ST3	0	0	0	0	0	0
GAL3ST4	10	1	6	4	0	11
GALC	193	89	152	54	115	66
GALE	402	242	305	243	312	153
GALK1	556	171	483	299	161	220
GALK2	249	154	150	140	359	265
GALM	616	467	553	502	747	650
GALNS	173	113	98	121	131	117
GALNT1	1446	1346	1419	790	1165	787
GALNT10	138	145	205	78	176	167
GALNT11	528	422	675	401	510	338
GALNT12	117	44	43	38	30	13
GALNT13	0	4	4	2	8	8
GALNT14	132	52	99	77	91	114
GALNT15	0	0	0	15	0	0
GALNT16	111	60	60	85	39	76
GALNT17	0	0	0	0	0	0
GALNT18	226	190	271	201	245	171
GALNT2	918	364	832	531	708	460
GALNT3	115	47	79	0	75	68
GALNT4	139	183	135	158	127	117
GALNT5	3	0	0	0	0	0
GALNT6	354	272	402	344	399	381
GALNT7	396	215	363	310	408	187
GALNT8	3	0	15	0	12	0
GALNT9	0	0	0	0	0	0
GALNTL5	0	1	0	0	0	0
GALNTL6	15	8	21	3	6	3
GALP	0	0	0	0	0	0
GALR1	0	0	0	0	0	0
GALR2	15	20	40	22	35	22
GALR3	0	0	0	0	0	0
GALT	204	145	181	298	195	244
GAMT	788	369	688	532	304	440
GAN	332	351	406	397	653	452
GANAB	1628	1034	1465	1115	1408	1112
GANC	72	58	162	94	83	103
GAP43	0	0	8	19	6	0
GAPDH	25876	12862	23477	19949	11263	14356
GAPDHS	7	0	0	0	0	1
GAPT	0	0	0	0	0	0
GAPVD1	524	390	582	332	604	633
GAR1	1786	1295	1503	1406	2194	1539
GAREM1	154	148	140	118	157	117
GAREM2	43	76	83	79	107	64
GARNL3	60	36	62	69	89	72
GARRE1	15	3	5	0	11	1
GARS1	2156	1923	1858	2105	2938	2543
GART	963	667	903	601	1047	945
GAS1	435	295	344	314	742	423
GAS2	0	0	0	0	0	0
GAS2L1	41	16	35	26	72	35
GAS2L2	0	0	0	0	0	0
GAS2L3	162	98	137	200	227	194
GAS6	465	225	520	347	304	209
GAS7	36	60	86	73	48	45
GAS8	158	108	122	147	171	142
GASK1A	4	31	27	13	12	21
GASK1B	4	0	1	0	0	0
GAST	0	1	0	0	0	0
GATA1	0	0	0	0	0	0
GATA2	299	146	227	233	268	253
GATA3	821	637	677	837	1555	1334
GATA4	0	0	0	0	0	0
GATA5	0	0	0	0	0	0
GATA6	290	227	217	301	447	224
GATAD1	1355	1286	1207	1391	2037	1497
GATAD2A	695	497	776	569	573	501
GATAD2B	7	0	1	7	2	4
GATB	268	174	279	268	350	175
GATC	1965	1496	1785	1499	1756	1396
GATD1	617	474	706	496	691	606
GATD3A	38	12	49	39	29	18
GATD3B	0	0	10	17	8	2
GATM	3	2	1	12	0	7
GBA	0	0	0	0	0	0
GBA2	275	201	306	138	194	90
GBA3	0	0	0	0	0	0
GBE1	158	65	154	108	167	174
GBF1	461	449	364	304	516	458
GBGT1	7	0	8	0	25	0
GBP1	0	0	0	0	0	0
GBP2	0	0	0	0	5	0
GBP3	0	0	0	0	2	0
GBP4	0	0	0	0	0	0
GBP5	0	0	0	0	0	0
GBP6	0	0	0	0	0	0
GBP7	0	0	0	0	0	0
GBX1	70	16	38	18	21	21
GBX2	58	18	66	24	27	36
GC	0	0	0	0	0	0
GCA	161	158	177	137	196	214
GCAT	274	225	376	131	331	158
GCC1	198	154	233	311	489	475
GCC2	862	590	681	502	1224	873
GCDH	405	350	484	289	356	341
GCFC2	438	337	504	400	492	404
GCG	0	0	0	0	0	0
GCGR	0	0	0	0	0	0
GCH1	247	166	278	246	261	208
GCHFR	538	378	476	299	241	244
GCK	1	0	0	0	0	0
GCKR	0	1	1	0	5	0
GCLC	221	223	340	238	384	318
GCLM	1090	954	1312	977	1378	1034
GCM1	0	0	0	0	0	2
GCM2	0	0	0	0	0	0
GCN1	628	571	804	294	382	425
GCNA	10	0	0	0	5	9
GCNT1	69	66	108	74	50	63
GCNT2	0	0	0	0	0	0
GCNT3	0	0	0	0	0	0
GCNT4	0	0	0	0	2	0
GCNT7	0	0	0	0	0	0
GCOM1	36	17	11	30	46	36
GCSAM	0	0	0	0	0	0
GCSAML	0	0	0	0	0	0
GCSH	159	146	179	65	143	94
GDA	0	0	0	0	0	0
GDAP1	616	433	532	436	792	674
GDAP1L1	0	0	0	6	0	4
GDAP2	183	131	134	206	251	195
GDE1	3096	2685	3373	2247	2748	2483
GDF1	144	127	122	56	152	140
